name,type
7SF,Organization
8&,Organization
Adecco Group France,Organization
Afpa,Organization
Anticor,Organization
Ascend Partners,Organization
Assistance Publique,Organization
August Debouzy,Organization
Babilou Family,Organization
Believe Capital,Organization
Bpifrance,Organization
Cabinet Clément,Organization
Capgemini Consulting,Organization
Commissariat,Organization
Consumer,Organization
Culture Viande,Organization
Deveryware,Organization
Docaposte,Organization
Doctolib,Organization
Edenred,Organization
Egon Zehnder,Organization
Enedis,Organization
Evolen,Organization
Faurecia,Organization
Flexipro,Organization
Foncière Magellan,Organization
Fondation Cartier,Organization
Forseti,Organization
Founders Future,Organization
Gide Loyrette Nouel,Organization
Horizons,Organization
Idex Énergies,Organization
Inli,Organization
Institut Mérieux,Organization
K Advisory,Organization
Karth Avocats,Organization
Lasociété GGE,Organization
Lasociété Pasqal,Organization
Louis Vuitton,Organization
Malakoff Humanis,Organization
Mazars,Organization
Meridiam,Organization
Meridiam Europe IV,Organization
Montefiore Investment,Organization
My Job Glasses,Organization
Mérieux NutriSciences,Organization
Naarea,Organization
Orano Projets,Organization
Pasqal,Organization
Pasteur,Organization
Perella Weinberg Partners,Organization
Poseidon Holdco,Organization
Publicis Consultants France,Organization
Renaissance,Organization
Retailleau,Organization
Richemont Holding,Organization
Shein,Organization
Sherpa,Organization
Silaexpert,Organization
Soreqa,Organization
Stellantis,Organization
Styles Ecommerce,Organization
Sweep,Organization
Tangerine,Organization
Turgot Capital,Organization
Vanige Consultants,Organization
Verkor,Organization
Verso Energy,Organization
Weinberg Partners,Organization
