name,type
Abel,Person
Adrien Caillerez,Person
Adrien Taquet,Person
Agnès Firmin Le Bodo,Person
Agnès Pannier-Runacher,Person
Alain Anziani,Person
Alain Griset,Person
Alban Virlet,Person
Alexandre Fabre,Person
Alexandre Molina,Person
Alexis Bataille-Hembert,Person
Alexis Kohler,Person
Ali France,Person
Amir Haeri,Person
Amélie Oudéa-Castéra,Person
Amélie de Montchalin,Person
Anna Martins,Person
Anne Genetet,Person
Annick Girardin,Person
Anthony Escurat,Person
Antoine Armand,Person
Antoine Boscher,Person
Antoine Daumas,Person
Antoine Lesieur,Person
Antoine Lévêque,Person
Antoine Malandain,Person
Antoine Michon,Person
Antoine Pellion,Person
Antoine Toulemont,Person
Ariane Vincent,Person
Ariel Lévy,Person
Arnaud Anantharaman,Person
Arnaud Danjean,Person
Arnaud Février,Person
Aurélien Rousseau,Person
Axel Cournède,Person
Barbara Pompili,Person
Basile Thodoroff,Person
Bastien Regnier,Person
Benjamin Buffault,Person
Benjamin Griveaux,Person
Benoît Coquille,Person
Benoît Ribadeau-Dumas,Person
Bernard Sananès,Person
Bertrand Nicolle,Person
Brice Hortefeux,Person
Brigitte Bourguignon,Person
Brigitte Klinkert,Person
Brune Poirson,Person
Bruno Le Maire,Person
Bérangère Couillard,Person
Cailleau,Person
Carole Grandjean,Person
Catherine Guillouard,Person
Catherine Vautrin,Person
Charles Hufnagel,Person
Charles Rozoy,Person
Charles-Marie Mondon,Person
Charles-Pierre Astolfi,Person
Charlotte Caubel,Person
Charlotte Parez,Person
Charlotte Rault,Person
Chris Chenebault,Person
Chris Dercon,Person
Christian Masset,Person
Christophe Béchu,Person
Christophe Castaner,Person
Christophe Leininger,Person
Christophe Tardieu,Person
Christopher Weissberg,Person
Chrysoula Zacharopoulou,Person
Claire Viellard,Person
Claire Zoé Waldmann,Person
Claude d’Harcourt,Person
Clément Beaune,Person
Clément Le Gouellec,Person
Cédric Bourdais,Person
Cédric O,Person
Daniel Féau,Person
Daniel Hochedez,Person
Daniel Lebègue,Person
David Ginocchi,Person
David Kimelfeld,Person
Delphine Scaini,Person
Didier Guillaume,Person
Didier Migaud,Person
Dimitri Lucas,Person
Édouard Philippe,Person
Elisabeth Borne,Person
Emmanuel Bossière,Person
Emmanuel Macron,Person
Emmanuelle Wargon,Person
Eric Dupond-Moretti,Person
Eric Ingargiola,Person
Étienne Loos,Person
Evan O’Connell,Person
Fleur Douet,Person
Florian Khichane,Person
Francis Amand,Person
Franck Pasquier,Person
Franck Riester,Person
François Bayrou,Person
François Braun,Person
François Durovray,Person
François Hollande,Person
François Rosenfeld,Person
François de Rugy,Person
Françoise Nyssen,Person
Frédéric Mion,Person
Frédéric Valletoux,Person
Gabriel Attal,Person
Georges Araud,Person
Gil Avérous,Person
Grégoire Abel,Person
Grégory Guillaume,Person
Guillaume Houzel,Person
Guillaume Kasbarian,Person
Guillaume Lamidon,Person
Guillaume Larrivé,Person
Guillaume Lesage,Person
Guillaume Papin,Person
Guillaume Poitoux,Person
Guillaume Valette-Valla,Person
Guillaume Voisard,Person
Gérald Darmanin,Person
Gérard Araud,Person
Gérard Cosme,Person
Hervé Berville,Person
Hervé Lebreton,Person
Isabelle Rome,Person
Jean-Baptiste Djebbari,Person
Jean Castex,Person
Jean Rottner,Person
Jean-Baptiste Lemoyne,Person
Jean-Christophe Combe,Person
Jean-Denis Combrexelle,Person
Jean-François Carenco,Person
Jean-Jacques Raquin,Person
