nom,avg_person_wealth
briand,345582691.0
PELLENC,84582828.0
COUTIERE,68947932.0
Renaud Garabedian,36089200.0
Fountaine,35000000.0
Maillard,27832900.0
VERNY,24510000.0
Ferracci,22672447.5
DOMINICI,20448618.0
Crémont,18637583.4
PARA,17989898.0
MICHOUX,13932822.0
Morel,13547036.333333334
RUAS,12905030.0
Ruelle,12678703.5
Cayeux,12583204.0
Alfandari,11524852.5
PEROTTINO,11384632.5
Riester,10667369.5
Vogel,10347526.0
MARTIN,9702352.3
Muselier,8713189.5
FAYSSAT,7762994.0
DUBOST,7266881.0
BLANCHET,7137907.0
CECCOLI,7027455.0
Lombard,7007171.333333333
LASSALLE,6320607.0
MIRAVETE,6258833.333333333
marolleau,5558012.5
NOUGEIN,5379076.0
dario,5301000.0
JOURDAIN,5263166.666666667
MORIN,5166394.25
PAINEAU,5154743.0
NOUVELOT,4953965.0
DE CANSON,4828250.0
Giscard d'Estaing,4539893.0
chartreux,4256724.0
CHATILLON,4244866.5
VIALATTE,4116624.6666666665
Missoffe,4049477.0
de NICOLAY,4000000.0
naegelen,3775021.5
PEDUZZI,3611481.0
Bernard,3571694.0
Jamet,3555915.0
Roques,3264026.0
CADIC,3070000.0
VEAU,2753106.0
GIRARD,2743171.0
POMERET,2699242.0
DAUSSAN-WEIZMAN,2642844.0
JENFT,2637024.5
vigier,2584465.0
TREMEGE,2571821.0
DUPIRE,2500000.0
de Bourrousse,2500000.0
RIGAUD,2450928.0
Pecresse,2439753.6666666665
Bringer,2230251.0
HOURQUET,2187828.0
meriaux,2144400.0
Sido,2048895.0
DOUCET,2001341.0
THIRIET,1950026.0
DARRASSE,1790120.0
Firmin Le Bodo,1785867.5
Callet,1780000.0
Amar,1771000.0
PERAZIO,1725405.0
ISABELLE,1675542.5
LEROY,1671575.6
Blanchet,1670803.0
Braun-Pivet,1655952.0
GRIGNON,1650000.0
de JENLIS,1622642.3333333333
Copé,1609594.5
BRARD,1550000.0
BENEVENTI,1542384.0
Thieriot,1530750.0
lucas,1519845.5
BELIN,1510400.0
Levy,1497403.7777777778
beauchamps,1485000.0
GENIS,1461229.0
Lemoine,1454087.0
DE MONTGOLFIER,1437628.0
JULLEMIER,1400000.0
Leroy,1399196.0
LOUWAGIE,1357711.0
POINTEREAU,1352772.0
Pezzetta,1341345.3333333333
vogel,1326140.0
de Lasteyrie,1308445.0
Gras,1279991.0
LEBIGRE,1200000.0
Méary,1194722.0
Battail,1181020.0
IMBERT,1177694.6666666667
