nom,declaration_count
LISNARD,30
MARTIN,23
BLANC,20
LEROY,19
MICHEL,17
MACAREZ,17
Martin,16
THOMAS,15
BERTRAND,15
VIAUD,13
Garnier,13
LAURENT,13
GOULET,12
NICOLAS,12
Meunier,12
BOYER,12
BOUAMRANE,12
komites,11
Rouly,11
BOUCHART,11
GAY,11
VERCHERE,10
RIBOULET,10
MENARD,10
samzun,10
GUICHARD,10
DUBOIS,10
PHILIPPE,10
PERRIN,10
TETUANUI,10
Siegler,10
BERNARD,9
DAVID,9
ROY,9
Cabanel,9
Masson,9
MOREAU,9
Blanchet,9
Levy,9
MANGIN,9
GACQUERRE,9
FOURNIER,9
lemoine,9
Courtois,9
ROUX,9
COLIN,9
DEMILLY,8
BREMOND,8
DURAND,8
DOUCET,8
BRIAND,8
DUMONT,8
Beauvarlet,8
ROSSI,8
PETIT,8
BRUN,8
NEGRE,8
BONNET,8
Klein,8
Bompard,8
daragon,8
CHEVALIER,8
CARRERE,8
CHAIX,8
MORIN,8
CATANZARO,8
GAZAY,7
Boyer,7
Dumont,7
Nédélec,7
Durand,7
CHEVILLON,7
Rosetti,7
BRUNEAU,7
Decagny,7
FAURE,7
DUPONT,7
AUBERT,7
Folliot,7
Geoffroy,7
BONTINCK,7
SIMON,7
BRUNET,7
brolly,7
thibaudeau rainot,7
CESARI,7
Bassal,7
GUERIN,7
BENOIT,7
JEAN,7
Provost-Lopin,7
Dabin,7
HUBERT,7
AVEROUS,7
BARBIER,7
ALVAREZ,7
Carvounas,7
HOAREAU,7
Baloge,7
TROADEC,7
GERARD,7
ARNAUD,7
RABASTE,7
Bayrou,6
LAUGIER,6
WEBER,6
LE HOUEROU,6
Bertrand,6
LEFEBVRE,6
LEFEVRE,6
LEROUX,6
PARIGI,6
Lochmann Beaujour,6
Brichet,6
Lert,6
Lombard,6
Méquignon,6
girard,6
AGUILERA,6
Moudenc,6
Belhadef,6
MARLIN,6
MARTINEZ,6
CHARLES,6
ALLARD,6
Baroin,6
MERCIER,6
COULON,6
de JENLIS,6
BUISSON,6
MOULIN,6
ALIOT,6
DUFFOURG,6
VOGEL,6
Dejean de La Batie,6
DEGALLAIX,6
lafarie,6
CUVILLIER,6
Beretti,6
BOEDEC,6
Brun,6
leveque,6
Copé,6
DUBOST,6
Bouchez,6
CAZEBONNE,6
ZIVKOVIC,6
Simon,6
TERRIEN,6
GUEVEL,6
Chevalier,6
Buisson,6
FABRE,6
SCHALCK,6
Rolland,6
Robin,6
GIRARD,6
Gest,6
HIDALGO,6
HERNANDEZ,6
HERVE,6
Pottier,6
Perrin,6
Pecresse,6
KERN,6
PLAGNEUX,6
Bazin,5
TOUZEAU,5
BÉNISTI,5
DEMARTHE,5
haddad,5
WANSCHOOR,5
TEMARII,5
BOUILLON,5
FERRERE,5
Chriqui,5
STRAMBIO,5
chapuis,5
TABAROT,5
Beaudet,5
Saint-Martin,5
Corne,5
ROULLE,5
ROUSSEL,5
DOMEN,5
WOLBER,5
BOST,5
BONNEAU,5
BALAND,5
ROUSSET,5
Bonnet,5
Bouche,5
Gastinne,5
Bernard,5
RISSER,5
FAIVRE,5
ROBERT,5
Guiraud,5
REPENTIN,5
BAGUET,5
Grosperrin,5
REAULT,5
RAVIER,5
HAQUIN,5
DUCHÉ,5
milon,5
SEGURA,5
RAMOS,5
DEBORD,5
Darnaud,5
Delacroix,5
HUGUET,5
Pons,5
FERRARI,5
robin,5
Hameau,5
Hervochon,5
JALTON,5
Isnard,5
Vidal,5
FISCHER,5
JOUVET,5
Jamet,5
cefis,5
FONTAINE,5
COSTE,5
BONNET-VALLET,5
PORTELLI,5
LAGARDE,5
LAGEDAMONT,5
LAGOURGUE,5
POLLET,5
Tourvieilhe,5
PLENET,5
LAPORTE,5
Amiel,5
DEZARNAUD,5
LAVIT,5
PIGNIER,5
EGRON,5
PEYLACHON,5
PICARD,5
PICHERY,5
BARSEGHIAN,5
LE DISSES,5
Vial,5
LEBRETON,5
LECA,5
LECLERC,5
BOURGI,5
TEISSERE,5
LEGENDRE,5
Belleval,5
PASTOR,5
CHABAUD,5
Robert,5
CHAMBON,5
LIBERT-ALBANEL,5
LOMBERTIE,5
LOZACH,5
Couchot,5
de Carolis,5
Marchau,5
BILLOT,5
Foveau,5
Lemardeley,5
Naria,5
NOEL,5
CLODONG,5
Crémont,5
FERRER,5
Rousseau,5
cornillet,5
Blanchard,5
TERLEZ,5
Robinet,5
BILLON,5
Sturni,5
DENIS,5
Michaud,5
CHITO,5
Schneider,5
MILLION,5
de Lasteyrie,5
MILLET,5
Bourel de La Roncière,5
Mercier,5
vernin,5
Thoraval,5
MOREL,5
GODIN,5
ALEMAGNA,5
BAUDE,5
Matet,5
Martinez,5
MOUNIER,5
ALLOTO,5
ATCHAPA,5
ANDRE,5
Leclerc,5
BORRÉ,4
CHERON,4
de Mazières,4
STREHAIANO,4
Slimani,4
Dati,4
BELLAMY,4
VISKOVIC,4
Brosse,4
BELLEC,4
Brouard-Gallet,4
ETHORÉ,4
Turpin,4
CHAUVELOT-DUBAN,4
CHAUVET,4
CHARRIER,4
billault,4
CHARROUX,4
CHAZAL,4
COCHET,4
BOURGEOIS,4
berger,4
BOUQUIN,4
Véricel,4
BENIER,4
tukumuli,4
BOURDOULEIX,4
FARCY,4
Dambach,4
SERRE,4
SERVANT,4
SCHMIDIGER,4
VIALA,4
SEBEYRAN,4
FATH,4
Baudrier,4
FAUTRA,4
FAVREAU,4
Marchive,4
FENET,4
FRISTOT,4
FROMANTIN,4
DELGA,4
FOUGERAY,4
FLEURY,4
Belair,4
CHOLLET,4
SALVADOR,4
AESCHLIMANN,4
FRANCOIS,4
SADDIER,4
Faucher,4
Faure,4
lecordier,4
Furst,4
galtier,4
Ferracci,4
Fontimp,4
Fournié,4
AGHA BABAEI,4
WILLER,4
Rosner-Bloch,4
vautrin,4
lagarde,4
Rousset,4
Rossignol Puech,4
vidal,4
Rohfritsch,4
DE CALAN,4
kohly,4
Roussel,4
GARZON,4
Delepierre,4
GATIAN,4
GARCIA,4
kollmannsberger,4
GAUTHIER,4
GAUTIER,4
kovacs,4
Rezgui,4
Ribard,4
Thévenot,4
Rigault,4
Richer,4
Rivière,4
kuchel,4
Raynal,4
Rebsamen,4
Ramdane,4
Ramond,4
Rampal,4
GHALI,4
GICQUEL,4
GLEMOT,4
geil,4
DELAFOSSE,4
ROULEAU,4
VIDAL,4
ROUSSEAU,4
DASTILLUNG,4
CAILLET,4
GOUTH,4
ARENAS,4
GRANDJEAN,4
Galtier,4
GUYEN,4
GROUARD,4
ARLABOSSE,4
ESPINOSA,4
GUERET,4
Dujols,4
ARNOULD,4
Barles,4
ROS,4
GUIHARD,4
Gaillard,4
Barnaud,4
gagnoux,4
robo,4
Gatel,4
BERTELOODT,4
RIGAUD,4
BERTHIER,4
ROBACHE,4
AUGEY,4
ROBIN,4
Gicquel,4
Girard,4
Weil,4
Goujon,4
RIETMANN,4
RIGAL,4
rossi,4
RENAUD,4
TOULLEC,4
Guillotin,4
Guillou,4
WILLIAM,4
jeandon,4
VALLS,4
RAVIGNON,4
AUGIS,4
HAKNI-ROBIN,4
amselem,4
RAGE,4
DELAPORTE,4
DELATTRE,4
HEROUIN LEAUTEY,4
Bertin,4
HIDRI,4
HINGRAY,4
jardé,4
HORNBECK,4
HOARAU,4
DORGUEILLE,4
DI CARO,4
Alexandre,4
SOMBSTHAY,4
Portes,4
Barnier,4
Provost,4
Delaporte,4
HURMIC,4
Darmanin,4
Hamida,4
ISIDORE,4
Werner,4
Hingrez-Céréda,4
Hoareau,4
IMBS,4
Amrane,4
Anceau,4
Philipps,4
CAPO-CANELLAS,4
JEAN-LOUIS,4
TANGUY,4
Pellevat,4
Petit,4
JORDAN,4
JOSENDE,4
JOSEPH,4
revillon,4
JOLY,4
Joissains,4
reynaud,4
DENOUES,4
KEITA,4
pustorino,4
Juven,4
SOURISSEAU,4
PUEYO,4
PRIOLLAUD,4
KERNEIS,4
PONCHON,4
DE MONTGOLFIER,4
PORTE,4
SORET,4
L'Hour,4
LABADENS,4
POUPINEAU,4
LAFON,4
Durovray,4
LACROUTE,4
COQUELIN,4
CORBIERE,4
LAGRAVE,4
POISSON,4
BLANCHÉ,4
POMERET,4
Cristiani,4
BLATRIX CONTAT,4
PITON,4
chalopin,4
LATTES,4
picard,4
Arminjon,4
LAVIOLETTE,4
CORDIER,4
Bouty,4
Boux,4
BRANCOUR,4
albertini,4
BOUAD,4
PFEFFER,4
condomitti,4
DESROSES,4
LE DORVEN,4
PIANETTI,4
BOUARD,4
Armanet,4
Cuillandre,4
VON EUW,4
LECOCQ,4
Charlet,4
Borie,4
LEFRAND,4
BACHARD,4
Barraud,4
bedreddine,4
Boudy,4
LEVADE,4
TREMEGE,4
Bosetti,4
BABOUHOT,4
LUTZ,4
LOQUET,4
LOISIER,4
PASCREAU,4
