nom,people_count,male,female,min_age,max_age,avg_age
LISNARD,30,30,0,51.0,55.0,53.03333333333333
MARTIN,23,18,5,51.0,78.0,58.608695652173914
BLANC,20,18,2,43.0,69.0,57.9
LEROY,19,19,0,41.0,78.0,62.26315789473684
MICHEL,17,10,7,46.0,227.0,67.05882352941177
MACAREZ,17,0,17,42.0,46.0,43.411764705882355
Martin,16,10,6,28.0,71.0,50.5625
BERTRAND,15,15,0,38.0,77.0,55.13333333333333
THOMAS,15,15,0,53.0,73.0,61.6
LAURENT,13,10,3,32.0,72.0,57.38461538461539
VIAUD,13,13,0,42.0,45.0,44.23076923076923
Garnier,13,1,12,36.0,63.0,49.15384615384615
BOUAMRANE,12,12,0,47.0,52.0,49.583333333333336
BOYER,12,4,8,55.0,69.0,58.916666666666664
Meunier,12,6,6,28.0,64.0,54.666666666666664
NICOLAS,12,10,2,46.0,70.0,57.583333333333336
GOULET,12,3,9,46.0,66.0,60.0
GAY,11,9,2,63.0,71.0,69.0
Rouly,11,11,0,43.0,47.0,45.27272727272727
komites,11,0,11,61.0,64.0,62.72727272727273
BOUCHART,11,3,8,42.0,61.0,53.63636363636363
GUICHARD,10,1,9,59.0,68.0,61.7
samzun,10,10,0,50.0,51.0,50.8
Siegler,10,10,0,40.0,43.0,41.6
PHILIPPE,10,10,0,49.0,68.0,53.4
DUBOIS,10,2,8,48.0,65.0,57.3
VERCHERE,10,10,0,46.0,74.0,55.6
RIBOULET,10,10,0,45.0,48.0,46.6
TETUANUI,10,4,6,50.0,62.0,55.4
MENARD,10,10,0,35.0,69.0,63.0
PERRIN,10,9,1,42.0,63.0,53.0
GACQUERRE,9,6,3,43.0,48.0,45.111111111111114
MOREAU,9,7,2,45.0,66.0,52.666666666666664
lemoine,9,9,0,59.0,60.0,59.888888888888886
MANGIN,9,9,0,40.0,67.0,59.77777777777778
DAVID,9,8,1,45.0,75.0,63.44444444444444
Masson,9,5,4,27.0,60.0,46.888888888888886
FOURNIER,9,6,3,55.0,75.0,64.44444444444444
COLIN,9,8,1,52.0,78.0,63.333333333333336
Cabanel,9,9,0,61.0,64.0,62.666666666666664
Courtois,9,9,0,69.0,72.0,70.44444444444444
BERNARD,9,8,1,43.0,75.0,59.888888888888886
Levy,9,9,0,31.0,33.0,32.22222222222222
Blanchet,9,9,0,44.0,53.0,49.55555555555556
ROUX,9,8,1,50.0,70.0,59.666666666666664
ROY,9,3,6,34.0,72.0,58.0
CHEVALIER,8,5,3,59.0,72.0,65.75
Klein,8,8,0,44.0,48.0,46.125
PETIT,8,6,2,52.0,73.0,60.75
DOUCET,8,6,2,46.0,74.0,55.5
DUMONT,8,0,8,55.0,67.0,58.375
BRIAND,8,8,0,47.0,54.0,50.875
DURAND,8,8,0,41.0,61.0,55.125
CATANZARO,8,8,0,58.0,61.0,58.875
CHAIX,8,4,4,53.0,60.0,55.875
CARRERE,8,8,0,53.0,59.0,55.75
Bompard,8,8,0,36.0,38.0,36.625
BONNET,8,6,2,53.0,65.0,58.0
BREMOND,8,4,4,52.0,61.0,56.5
MORIN,8,8,0,59.0,68.0,63.125
DEMILLY,8,8,0,57.0,61.0,58.0
Beauvarlet,8,8,0,54.0,58.0,55.625
daragon,8,8,0,48.0,52.0,49.125
NEGRE,8,3,5,63.0,74.0,67.75
ROSSI,8,3,5,57.0,67.0,60.625
BRUN,8,8,0,57.0,67.0,61.25
Dumont,7,5,2,33.0,51.0,42.0
CESARI,7,7,0,60.0,72.0,65.14285714285714
Folliot,7,7,0,57.0,60.0,57.57142857142857
AVEROUS,7,7,0,47.0,51.0,48.0
brolly,7,0,7,43.0,47.0,44.42857142857143
Bassal,7,0,7,46.0,50.0,48.0
Decagny,7,7,0,47.0,51.0,48.57142857142857
Nédélec,7,4,3,42.0,70.0,54.42857142857143
Geoffroy,7,3,4,50.0,72.0,59.42857142857143
JEAN,7,7,0,29.0,59.0,43.285714285714285
Baloge,7,7,0,47.0,49.0,47.857142857142854
GERARD,7,7,0,59.0,68.0,65.0
Rosetti,7,0,7,53.0,55.0,54.0
BRUNEAU,7,5,2,44.0,70.0,61.42857142857143
Carvounas,7,7,0,49.0,52.0,50.0
BRUNET,7,2,5,50.0,69.0,58.42857142857143
Dabin,7,0,7,42.0,45.0,42.857142857142854
SIMON,7,4,3,48.0,71.0,61.57142857142857
GUERIN,7,4,3,33.0,69.0,48.57142857142857
FAURE,7,4,3,52.0,65.0,56.714285714285715
BENOIT,7,7,0,34.0,73.0,54.57142857142857
Durand,7,2,5,60.0,70.0,67.57142857142857
RABASTE,7,7,0,38.0,40.0,39.0
TROADEC,7,7,0,55.0,57.0,56.0
DUPONT,7,4,3,39.0,58.0,49.285714285714285
ALVAREZ,7,7,0,47.0,58.0,49.714285714285715
Boyer,7,5,2,35.0,76.0,52.285714285714285
thibaudeau rainot,7,0,7,49.0,52.0,51.142857142857146
HUBERT,7,7,0,55.0,71.0,59.0
BARBIER,7,6,1,57.0,65.0,60.0
GAZAY,7,7,0,62.0,65.0,63.0
CHEVILLON,7,0,7,40.0,43.0,41.142857142857146
BONTINCK,7,0,7,40.0,45.0,43.0
Provost-Lopin,7,0,7,66.0,71.0,68.14285714285714
ARNAUD,7,7,0,54.0,59.0,55.714285714285715
HOAREAU,7,7,0,35.0,65.0,50.714285714285715
AUBERT,7,0,7,50.0,60.0,57.57142857142857
DEGALLAIX,6,6,0,54.0,56.0,55.166666666666664
Simon,6,6,0,60.0,63.0,60.833333333333336
Baroin,6,6,0,55.0,59.0,56.666666666666664
Brun,6,3,3,32.0,56.0,43.0
Robin,6,3,3,42.0,61.0,52.5
Gest,6,6,0,69.0,74.0,70.66666666666667
SCHALCK,6,0,6,33.0,38.0,35.666666666666664
BOEDEC,6,6,0,50.0,53.0,51.166666666666664
leveque,6,6,0,67.0,70.0,68.33333333333333
ZIVKOVIC,6,0,6,46.0,47.0,46.666666666666664
de JENLIS,6,6,0,53.0,57.0,54.833333333333336
Bayrou,6,6,0,69.0,73.0,71.66666666666667
Pecresse,6,0,6,54.0,57.0,55.0
Bertrand,6,0,6,30.0,51.0,34.5
GUEVEL,6,6,0,47.0,49.0,47.666666666666664
MOULIN,6,5,1,53.0,70.0,62.0
PLAGNEUX,6,0,6,60.0,64.0,62.166666666666664
PARIGI,6,6,0,54.0,62.0,58.0
CUVILLIER,6,3,3,51.0,53.0,51.833333333333336
Rolland,6,0,6,41.0,58.0,47.833333333333336
LEFEBVRE,6,0,6,53.0,61.0,57.333333333333336
FABRE,6,3,3,45.0,71.0,56.666666666666664
Lert,6,6,0,45.0,48.0,46.0
MERCIER,6,4,2,47.0,72.0,60.0
LE HOUEROU,6,0,6,60.0,63.0,61.666666666666664
ALIOT,6,6,0,50.0,52.0,51.333333333333336
Belhadef,6,0,6,38.0,41.0,39.666666666666664
Brichet,6,0,6,64.0,66.0,64.83333333333333
CHARLES,6,2,4,51.0,56.0,54.333333333333336
Lombard,6,6,0,66.0,67.0,66.33333333333333
TERRIEN,6,6,0,67.0,69.0,67.83333333333333
Beretti,6,6,0,52.0,53.0,52.666666666666664
ALLARD,6,4,2,51.0,59.0,56.5
VOGEL,6,2,4,36.0,68.0,47.0
Pottier,6,0,6,35.0,38.0,36.666666666666664
HERVE,6,6,0,37.0,44.0,39.5
DUFFOURG,6,6,0,70.0,72.0,71.16666666666667
HERNANDEZ,6,4,2,37.0,71.0,56.0
Moudenc,6,6,0,60.0,61.0,60.166666666666664
GIRARD,6,6,0,47.0,71.0,62.0
DUBOST,6,6,0,45.0,74.0,67.5
LEROUX,6,3,3,50.0,73.0,58.833333333333336
Chevalier,6,6,0,50.0,75.0,59.333333333333336
MARTINEZ,6,2,4,46.0,56.0,50.333333333333336
Bouchez,6,6,0,67.0,68.0,67.16666666666667
Méquignon,6,6,0,64.0,66.0,64.66666666666667
Copé,6,6,0,56.0,60.0,57.166666666666664
Dejean de La Batie,6,6,0,62.0,70.0,67.0
BUISSON,6,4,2,53.0,60.0,56.666666666666664
KERN,6,6,0,58.0,62.0,60.0
lafarie,6,0,6,38.0,41.0,39.833333333333336
Perrin,6,6,0,44.0,47.0,45.333333333333336
girard,6,1,5,57.0,67.0,63.166666666666664
CAZEBONNE,6,0,6,50.0,52.0,50.5
Lochmann Beaujour,6,0,6,54.0,58.0,56.333333333333336
LEFEVRE,6,6,0,37.0,63.0,50.5
HIDALGO,6,0,6,61.0,65.0,61.833333333333336
COULON,6,4,2,48.0,59.0,52.166666666666664
MARLIN,6,6,0,55.0,59.0,57.166666666666664
LAUGIER,6,4,2,51.0,71.0,62.5
WEBER,6,4,2,49.0,63.0,54.333333333333336
AGUILERA,6,6,0,45.0,48.0,46.166666666666664
Buisson,6,6,0,50.0,52.0,51.0
Corne,5,0,5,70.0,73.0,71.4
FISCHER,5,5,0,52.0,69.0,60.4
Hameau,5,5,0,55.0,56.0,55.6
Belleval,5,5,0,28.0,30.0,29.0
Tourvieilhe,5,5,0,53.0,54.0,53.8
Couchot,5,5,0,58.0,62.0,59.8
Lemardeley,5,0,5,67.0,69.0,68.0
REPENTIN,5,5,0,57.0,60.0,58.0
Beaudet,5,5,0,48.0,50.0,48.8
BAUDE,5,2,3,52.0,69.0,57.2
