nom,declaration_count,total_wealth
LISNARD,30,822885.0
MARTIN,23,97023523.0
BLANC,20,14072141.0
LEROY,19,25073634.0
MICHEL,17,1250708.0
MACAREZ,17,0.0
Martin,16,16980.0
BERTRAND,15,843000.0
THOMAS,15,43172.0
LAURENT,13,57322.0
VIAUD,13,1965951.0
Garnier,13,1448007.0
BOUAMRANE,12,64386.0
BOYER,12,0.0
Meunier,12,1434327.0
NICOLAS,12,3681406.0
GOULET,12,945435.0
GAY,11,903000.0
Rouly,11,279619.0
komites,11,0.0
BOUCHART,11,240.0
GUICHARD,10,1970250.0
samzun,10,0.0
Siegler,10,8280.0
PHILIPPE,10,150105.0
DUBOIS,10,45420.0
VERCHERE,10,12880.0
RIBOULET,10,14850.0
TETUANUI,10,0.0
MENARD,10,46408.0
PERRIN,10,850.0
GACQUERRE,9,1995.0
MOREAU,9,839693.0
lemoine,9,0.0
MANGIN,9,1282705.0
DAVID,9,1291577.0
Masson,9,251000.0
FOURNIER,9,543599.0
COLIN,9,3585172.0
Cabanel,9,1000.0
Courtois,9,632814.0
BERNARD,9,426435.0
Levy,9,13476634.0
Blanchet,9,3341606.0
ROUX,9,3000.0
ROY,9,125736.0
CHEVALIER,8,0.0
Klein,8,0.0
PETIT,8,1767566.0
DOUCET,8,4002682.0
DUMONT,8,0.0
BRIAND,8,47250.0
DURAND,8,159989.0
CATANZARO,8,0.0
CHAIX,8,3231525.0
CARRERE,8,19169.0
Bompard,8,68956.0
BONNET,8,0.0
BREMOND,8,2931504.0
MORIN,8,41331154.0
DEMILLY,8,0.0
Beauvarlet,8,600.0
daragon,8,76943.0
NEGRE,8,0.0
ROSSI,8,0.0
BRUN,8,1000.0
Dumont,7,2460.0
CESARI,7,210620.0
Folliot,7,0.0
AVEROUS,7,94807.0
brolly,7,0.0
Bassal,7,0.0
Decagny,7,14000.0
Nédélec,7,79290.0
Geoffroy,7,1000.0
JEAN,7,868.0
Baloge,7,25480.0
GERARD,7,1655104.0
Rosetti,7,0.0
BRUNEAU,7,11991.0
Carvounas,7,0.0
BRUNET,7,529928.0
Dabin,7,17200.0
SIMON,7,0.0
GUERIN,7,3880.0
FAURE,7,200000.0
BENOIT,7,357510.0
Durand,7,900.0
RABASTE,7,0.0
TROADEC,7,91654.0
DUPONT,7,91597.0
ALVAREZ,7,0.0
Boyer,7,2511.0
thibaudeau rainot,7,0.0
HUBERT,7,100315.0
BARBIER,7,1500.0
GAZAY,7,185000.0
CHEVILLON,7,-2.0
BONTINCK,7,7000.0
Provost-Lopin,7,0.0
ARNAUD,7,591878.0
HOAREAU,7,0.0
AUBERT,7,611930.0
DEGALLAIX,6,0.0
Simon,6,0.0
Baroin,6,0.0
Brun,6,100000.0
Robin,6,3330.0
Gest,6,856908.0
SCHALCK,6,0.0
BOEDEC,6,107861.0
leveque,6,8163.0
ZIVKOVIC,6,0.0
de JENLIS,6,9735854.0
Bayrou,6,0.0
Pecresse,6,14638522.0
Bertrand,6,0.0
GUEVEL,6,8036.0
MOULIN,6,2000.0
PLAGNEUX,6,3922798.0
PARIGI,6,556800.0
CUVILLIER,6,211407.0
Rolland,6,0.0
LEFEBVRE,6,0.0
FABRE,6,333200.0
Lert,6,0.0
MERCIER,6,158418.0
LE HOUEROU,6,400.0
ALIOT,6,0.0
Belhadef,6,0.0
Brichet,6,188716.0
CHARLES,6,0.0
Lombard,6,21021514.0
TERRIEN,6,768.0
Beretti,6,0.0
ALLARD,6,0.0
VOGEL,6,8200.0
Pottier,6,0.0
HERVE,6,0.0
DUFFOURG,6,486960.0
HERNANDEZ,6,0.0
Moudenc,6,0.0
GIRARD,6,8229513.0
DUBOST,6,36334405.0
LEROUX,6,5500.0
Chevalier,6,0.0
MARTINEZ,6,15095.0
Bouchez,6,120000.0
Méquignon,6,0.0
Copé,6,9657567.0
Dejean de La Batie,6,1620000.0
BUISSON,6,2250.0
KERN,6,0.0
lafarie,6,5500.0
Perrin,6,0.0
girard,6,0.0
CAZEBONNE,6,0.0
Lochmann Beaujour,6,476840.0
LEFEVRE,6,55582.0
HIDALGO,6,0.0
COULON,6,810300.0
MARLIN,6,954000.0
LAUGIER,6,0.0
WEBER,6,0.0
AGUILERA,6,2286.0
Buisson,6,0.0
Corne,5,472500.0
FISCHER,5,1962500.0
Hameau,5,152320.0
Belleval,5,126344.0
Tourvieilhe,5,0.0
Couchot,5,25333.0
Lemardeley,5,0.0
REPENTIN,5,0.0
Beaudet,5,0.0
BAUDE,5,0.0
SEGURA,5,0.0
de Carolis,5,1530000.0
Bernard,5,7143388.0
Blanchard,5,0.0
Crémont,5,93187917.0
Leclerc,5,0.0
FERRARI,5,200.0
MILLET,5,308380.0
BOST,5,96210.0
MILLION,5,2534930.0
TERLEZ,5,0.0
Schneider,5,23240.0
TEMARII,5,1584.0
DEZARNAUD,5,0.0
RAMOS,5,18269.0
Isnard,5,235166.0
JALTON,5,0.0
DOMEN,5,2066668.0
haddad,5,300.0
EGRON,5,0.0
FONTAINE,5,0.0
BILLON,5,1097000.0
BILLOT,5,128000.0
TEISSERE,5,200.0
TABAROT,5,0.0
Sturni,5,282240.0
Pons,5,285000.0
Saint-Martin,5,360.0
BONNEAU,5,15600.0
DUCHÉ,5,100.0
HUGUET,5,1236060.0
STRAMBIO,5,718500.0
BOURGI,5,0.0
BOUILLON,5,0.0
Naria,5,0.0
DEBORD,5,0.0
Jamet,5,3555915.0
FAIVRE,5,308418.0
Bazin,5,935082.0
Grosperrin,5,1247488.0
FERRERE,5,0.0
FERRER,5,232307.0
NOEL,5,40320.0
Delacroix,5,200.0
RAVIER,5,2208.0
BONNET-VALLET,5,614000.0
JOUVET,5,10671.0
TOUZEAU,5,0.0
de Lasteyrie,5,6542225.0
Darnaud,5,0.0
HAQUIN,5,12660.0
DEMARTHE,5,0.0
Hervochon,5,0.0
DENIS,5,55800.0
Michaud,5,67330.0
REAULT,5,0.0
PIGNIER,5,0.0
COSTE,5,177713.0
Robinet,5,0.0
ATCHAPA,5,0.0
LAVIT,5,490000.0
ALLOTO,5,508300.0
LOMBERTIE,5,422816.0
LAPORTE,5,3932000.0
