file,nomSociete,evaluation,capitalDetenu,nombreParts,remuneration
000b18d0-40c0-4edf-8bf5-e76841fe46df-20171221.xml,MDI,144000,0,96,0
000e2a7c-5fae-4a8d-a1a4-8d04821effc7-20171221.xml,SCI          [Données non publiées],0,3,9300,0
000e2a7c-5fae-4a8d-a1a4-8d04821effc7-20171221.xml,SCI          [Données non publiées],567109,33,315,0
000e41c4-3ae3-46b7-be32-1aa8b74c778b-20171221.xml,SARL Luxinet,875000,100,22900,6000
000e41c4-3ae3-46b7-be32-1aa8b74c778b-20171221.xml,SCI          [Données non publiées],800,1,100,0
00221bbf-875f-4e2d-8772-5fcb483e2a3f-20171221.xml,SCI,2500,25,100,2678E de rémunération pour l'année 2023
002c2aae-c0e3-4056-8e4b-a804f56a9d25-20171221.xml,La Coopérative Tiers-Lieux,1200,,24,parts sociales de scic non rémunérées
002c2aae-c0e3-4056-8e4b-a804f56a9d25-20171221.xml,Coop'Alpha,2400,,48,parts sociales de Scop SA non rémunérées
003520eb-099d-47f3-aee1-1df686ed1ae8-20171221.xml,SCI          [Données non publiées],9600,5,21,88 € en 2020. Environ 600 à 700 € en 2021.
0037f81f-6f0f-4179-86ef-1490201c15c1-20171221.xml,Aéroports de Paris,853,,9,"Dernier versement de dividende : 0,70€ / action le 06/12/2019"
0037f81f-6f0f-4179-86ef-1490201c15c1-20171221.xml,LVMH,6347,,16,"Dernier versement de dividende : 2,60€ / action le 07/07/2020"
0037f81f-6f0f-4179-86ef-1490201c15c1-20171221.xml,Vivendi,323,,14,"Dernier versement de dividende : 0,60€ / action le 21/04/2020"
003d375a-3bf4-4441-817e-8593c32e7d57-20171221.xml,AIR coop,3000,14,250,0
003d375a-3bf4-4441-817e-8593c32e7d57-20171221.xml,LOOM,110,1,5,0
005da0ad-9344-499a-b849-3a68f6726130-20171221.xml,SCI          [Données non publiées],61197,50,50,0
0077f258-22a6-473d-bffe-e13f8ee5b6cd-20171221.xml,SCI         [Données non publiées],3750,2,25,0
0077f258-22a6-473d-bffe-e13f8ee5b6cd-20171221.xml,SCA Energie Partagée Investissement,3000,0,30,0
0077f258-22a6-473d-bffe-e13f8ee5b6cd-20171221.xml,Garrigue Capital risque solidaire,1500,0,15,0
0077f258-22a6-473d-bffe-e13f8ee5b6cd-20171221.xml,La Nef coopérative financière,3300,1,1,0
0077f258-22a6-473d-bffe-e13f8ee5b6cd-20171221.xml,SCIC RailCoop SA à capital variable,2000,0,20,0
008ab22a-71d8-41ef-aeaf-611aff5eee2b-20171221.xml,SOCIETE LOCALE D EPARGNE CAISSE D EPARGNE          [Données non publiées],0,0,8,"2 % PAR AN ENVIRON TITRES NON COTES 3,20 EUROS EN 2020"
008f54ff-97d5-48ac-acca-6cd88027b4ee-20171221.xml,SCI          [Données non publiées],30000,25,1,4200 € (350 € x 12) de loyer avant impôt
00a7352e-ceb7-4e19-b072-edf4ba8e90dc-20171221.xml,SCI          [Données non publiées],31362,25,4,0
00a7cf9c-4089-45f9-87f5-4d6d23de9ad5-20171221.xml,SARL         [Données non publiées],-91362,50,382,0
00b1c41b-824f-49f9-a0be-b1956cc80ca4-20171221.xml,Capgemini,2310,0,18,"35,10"
00c7ffff-9132-49c3-99c3-ef7eb132a221-20171221.xml,SCI          [Données non publiées],185000,99,99,0
00ce51d1-8f1f-4538-b0ce-d0f0d11ca12f-20171221.xml,SOFINEIS,1000,0,10,0
00ce51d1-8f1f-4538-b0ce-d0f0d11ca12f-20171221.xml,SCI          [Données non publiées],395000,50,150,0
00d924ee-0d2c-4ff5-afd9-a74cf6d9bcf5-20171221.xml,SYLPA LE2,60000,99,59900,Il s'agit de versement de dividende
00d924ee-0d2c-4ff5-afd9-a74cf6d9bcf5-20171221.xml,SCI         [Données non publiées],550,55,55,Néant
00dd4530-d2be-434b-bad5-102304a171aa-20171221.xml,[Données non publiées],1000,100,100,néant
00fb9161-9cf9-4783-bfe9-3e0e828f340c-20171221.xml,Crédit Agricole         [Données non publiées],30,,20,"0,25 euros"
0131d5aa-b83b-40eb-bc53-0081c3454f49-20171221.xml,SCEA          [Données non publiées],0,99,3508,0
0131d5aa-b83b-40eb-bc53-0081c3454f49-20171221.xml,SCI          [Données non publiées],500,50,500,0
015f2310-f5a3-4e60-b8a1-d79a60cbb345-20171221.xml,TRANS HANDI SNTA,12660,5,250,0
015f2310-f5a3-4e60-b8a1-d79a60cbb345-20171221.xml,SCI L'         [Données non publiées],0,40,200,0
016c2589-85ca-4ae1-a107-cb2fa127ed2f-20171221.xml,[Données non publiées]     SCI,65000,100,20,0
016e562a-79ce-40fd-b4e0-a78938f80782-20171221.xml,SCI          [Données non publiées],300,30,30,Aucune rémunération ou gratification perçue 15parts / 15% au nom de          [Données non publiées]      15parts / 15% au nom de M PLISSONNEAU Guy
01771bd8-9f1a-4e3b-9897-617cd0dea0c9-20171221.xml,herasens,2000,33,200,18666€ montant brut Dividendes 2020
01771bd8-9f1a-4e3b-9897-617cd0dea0c9-20171221.xml,Pharmacosmetic,500,10,50,0
