person,mentions,filenames
Abel,5,"0557c24f-62af-420d-9aa2-562593798d78-20171221.xml,900e1c2b-91a1-487a-9d03-fbe1ae6831bf-20171221.xml,a1a11106-bfe2-40a4-89dc-71ae7adfd7fa-20171221.xml,a53312dc-1668-4d46-a0a4-307032a2c15d-20171221.xml,f17ea7b7-833d-4191-a235-1a4e1e6c4331-20171221.xml"
Adrien Caillerez,0,
Adrien Taquet,0,
Agnès Firmin Le Bodo,0,
Agnès Pannier-Runacher,0,
Alain Anziani,0,
Alain Griset,0,
Alban Virlet,0,
Alexandre Fabre,0,
Alexandre Molina,0,
Alexis Bataille-Hembert,0,
Alexis Kohler,0,
Ali France,0,
Amir Haeri,0,
Amélie Oudéa-Castéra,0,
Amélie de Montchalin,2,"3aceac39-ae23-44b6-a7ad-c8917483fdb5-0.xml,c34a1340-2d5e-4c08-880e-0e666d7f97ca-0.xml"
Anna Martins,0,
Anne Genetet,0,
Annick Girardin,0,
Anthony Escurat,0,
Antoine Armand,0,
Antoine Boscher,0,
Antoine Daumas,0,
Antoine Lesieur,1,7b3abec4-664f-4c5e-8829-736841a9ed8d-20171221.xml
Antoine Lévêque,0,
Antoine Malandain,0,
Antoine Michon,0,
Antoine Pellion,0,
Antoine Toulemont,0,
Ariane Vincent,0,
Ariel Lévy,0,
Arnaud Anantharaman,0,
Arnaud Danjean,0,
Arnaud Février,0,
Aurélien Rousseau,0,
Axel Cournède,0,
Barbara Pompili,0,
Basile Thodoroff,0,
Bastien Regnier,0,
Benjamin Buffault,0,
Benjamin Griveaux,0,
Benoît Coquille,0,
Benoît Ribadeau-Dumas,0,
Bernard Sananès,0,
Bertrand Nicolle,0,
Brice Hortefeux,0,
Brigitte Bourguignon,0,
Brigitte Klinkert,0,
Brune Poirson,0,
Bruno Le Maire,0,
Bérangère Couillard,0,
Cailleau,0,
Carole Grandjean,0,
Catherine Guillouard,0,
Catherine Vautrin,0,
Charles Hufnagel,0,
Charles Rozoy,0,
Charles-Marie Mondon,0,
Charles-Pierre Astolfi,0,
Charlotte Caubel,0,
Charlotte Parez,0,
Charlotte Rault,0,
Chris Chenebault,0,
Chris Dercon,0,
Christian Masset,0,
Christophe Béchu,1,c49611c4-94c7-457b-b021-6be6fac8013a-20171221.xml
Christophe Castaner,0,
Christophe Leininger,0,
Christophe Tardieu,0,
Christopher Weissberg,0,
Chrysoula Zacharopoulou,0,
Claire Viellard,0,
Claire Zoé Waldmann,0,
Claude d’Harcourt,0,
Clément Beaune,0,
Clément Le Gouellec,0,
Cédric Bourdais,0,
Cédric O,0,
Daniel Féau,0,
Daniel Hochedez,0,
Daniel Lebègue,0,
David Ginocchi,0,
David Kimelfeld,0,
Delphine Scaini,0,
Didier Guillaume,0,
Didier Migaud,0,
Dimitri Lucas,0,
Édouard Philippe,0,
Elisabeth Borne,0,
Emmanuel Bossière,0,
Emmanuel Macron,0,
Emmanuelle Wargon,0,
Eric Dupond-Moretti,0,
Eric Ingargiola,0,
Étienne Loos,0,
Evan O’Connell,0,
Fleur Douet,0,
Florian Khichane,0,
Francis Amand,0,
Franck Pasquier,0,
Franck Riester,1,cbec2917-eb76-40e6-84c1-eaad36254407-20171221.xml
François Bayrou,0,
François Braun,0,
François Durovray,0,
François Hollande,0,
François Rosenfeld,0,
François de Rugy,3,"502f2e86-dd8e-4c33-a648-f00188441c40-20171221.xml,57fd34c5-400e-4dd0-88c8-072ba48a8765-20171221.xml,8088727c-70da-4e70-9fdc-68bd45a1080f-20171221.xml"
Françoise Nyssen,0,
Frédéric Mion,0,
Frédéric Valletoux,0,
Gabriel Attal,0,
Georges Araud,0,
Gil Avérous,0,
Grégoire Abel,0,
Grégory Guillaume,0,
Guillaume Houzel,0,
Guillaume Kasbarian,0,
Guillaume Lamidon,0,
Guillaume Larrivé,0,
Guillaume Lesage,0,
Guillaume Papin,0,
Guillaume Poitoux,0,
Guillaume Valette-Valla,0,
Guillaume Voisard,0,
Gérald Darmanin,2,"682327ab-a79a-479d-8da1-be5ed715c647-0.xml,a3f34dbf-d41c-47e2-beb4-3764fec76aca-0.xml"
Gérard Araud,0,
Gérard Cosme,0,
Hervé Berville,0,
Hervé Lebreton,0,
Isabelle Rome,0,
Jean-Baptiste Djebbari,0,
Jean Castex,0,
Jean Rottner,0,
Jean-Baptiste Lemoyne,0,
Jean-Christophe Combe,0,
Jean-Denis Combrexelle,0,
Jean-François Carenco,0,
Jean-Jacques Raquin,0,
Jean-Louis Nadal,0,
Jean-Marie Le Guen,0,
Jean-Michel Blanquer,0,
Jean-Noël Barrot,4,"0de90d87-1ebf-4b5f-84bd-fb4d4173fb8b-20171221.xml,320264a1-e3a4-4d74-a531-3533ff76b007-20171221.xml,5702d0ac-8b75-44ba-bb35-503601d4f26f-20171221.xml,639dbabb-4089-4d7e-9106-82ee8994db8a-0.xml"
Jean-Paul Delevoye,0,
Jean-Pierre Jouyet,0,
Jean-Yves Le Drian,0,
Jonathan Bayol,0,
Joël Giraud,0,
Jules Bayle,0,
Julie Creuseveau,0,
Julien Denormandie,0,
Julien Dumond,0,
Juliette Méadel,1,86723989-6628-416b-afc6-b3cad073d839-0.xml
Karl-Hadrien Astié,0,
Kering,5,"2de20291-65bf-43c9-9e83-320c2f3dac22-20171221.xml,360b47c2-ff38-4c0e-98f2-7e36abd9a403-20171221.xml,6c809881-23c9-4f2c-b8e1-ccd6feb382df-20171221.xml,b415240e-4f79-4c6d-ac0a-8e9cf7394177-20171221.xml,e14de8f9-043a-4d9b-bdea-5f6c57efba6f-20171221.xml"
Laurent Pietraszewski,0,
Laura Flessel,0,
Laurence Boone,0,
Lionel Choukroun,0,
Loris Gaudin,0,
Louise Oriol,0,
Luc Lemonnier,0,
Ludovic Pereira,0,
Luka Lissillour,0,
Marie Guévenoux,0,
Marie de Sarnez,0,
Marie-Agnès Poussier-Winsback,0,
Marina Ferrari,0,
Marlène Schiappa,0,
Martin Vial,0,
Mathieu Charpentier,0,
Mathieu Di Cristo,0,
Mathieu Letranchant,0,
Matthias Fekl,0,
Maurice Gourdault-Montagne,0,
Maxime Cermack,0,
Maxime Cordier,1,7b3abec4-664f-4c5e-8829-736841a9ed8d-20171221.xml
Maxime Ehrhart,0,
Maxime Quinart,0,
Michel Barnier,0,
Michel Sapin,0,
Mohammed Adnène Trojette,0,
Nicolas Chantrenne,0,
Nicolas Daragon,1,b6202cac-7141-4e4b-8dbc-f6023cfe2e8c-20171221.xml
Nicolas Evrard,0,
Nicolas Gelli,0,
Nicolas Hulot,3,"ab731077-f69c-4639-a62b-3c742e85681c-20171221.xml,b9a79b79-74b0-4f3c-91ad-62d330f10034-20171221.xml,dd41b3f2-d3b5-42f6-83b8-47eccf1afc04-20171221.xml"
Nicolas Morin,0,
Olivier Becht,1,cbec2917-eb76-40e6-84c1-eaad36254407-20171221.xml
Olivier Dussopt,0,
Olivier Klein,0,
Olivier Remy,0,
Olivier Schrameck,0,
Olivier Véran,1,60b3b5a2-408b-4063-b0f2-96bd4b32f2fd-20171221.xml
Pap Ndiaye,0,
Patrice Vergriete,0,
Patrick Bernasconi,0,
Patrick Lefas,0,
Patrick Matet,0,
Paul Bosc Bierne,0,
Paul Caubert,0,
Paul Christophe,0,
Paul Maria,0,
Paul Quentin,0,
Paul Warnier,0,
Paul-Antoine Georges,0,
Paul-Antoine Sigelon,0,
Philippe Englebert,0,
Philippe Errera,0,
Philippe Tabarot,0,
Pierre Jérémie,0,
