occupation,male,female,pay_grade
gerant,39,5,unknown
enseignant,37,3,unknown
ingenieur,24,8,high
commercial,18,0,unknown
agriculteur,17,0,unknown
exploitant agricole,13,2,unknown
medecin,12,8,high
medecin generaliste,12,16,high
directeur general,11,0,high
directeur,11,0,high
administrateur,10,0,unknown
avocat,10,25,high
cadre,10,10,unknown
architecte,9,4,high
directeur commercial,8,0,high
veterinaire,8,6,unknown
viticulteur,8,0,unknown
charge de mission,7,3,unknown
president,7,2,high
technicien,7,0,low
