organization,mentions,filenames
7SF,1,df1d73eb-22b6-429e-a67e-281d5f872544-20171221.xml
8&,0,
Adecco Group France,0,
Afpa,0,
Anticor,2,"83a8d67b-42b3-4943-b078-33860e0950fa-20171221.xml,8b9b21f2-14b6-41e1-ad5c-10419b5a14ad-20171221.xml"
Ascend Partners,0,
Assistance Publique,9,"0888ba09-f34a-4964-aa4e-58c92f0cb424-20171221.xml,1accde87-fbc4-4e7d-9d58-c0ad88c67e46-20171221.xml,70e3cd96-9d91-444a-b8c2-58df6b9f1149-20171221.xml,7218d0d9-56d9-4bd3-a6d4-e881a8a30166-20171221.xml,8b696621-dfa4-43f8-8afd-02d07650618c-20171221.xml,a54da107-eece-42d5-bcd6-3cb9830b8de9-20171221.xml,ae8fabb7-4606-4dd0-b873-bb0082024dd8-20171221.xml,c50aadb4-4687-4490-b9d1-44c280af8553-20171221.xml,ef0d54e2-f872-44c8-be78-d7f96bed306d-20171221.xml"
August Debouzy,0,
Babilou Family,0,
Believe Capital,0,
Bpifrance,2,"b23a0b88-8323-4e3a-ae0b-9513f658748a-20171221.xml,cf81eb92-2463-4af3-9858-8c3b64a89c4f-20171221.xml"
Cabinet Clément,0,
Capgemini Consulting,0,
