uuid,nomSociete,evaluation,capitalDetenu,nombreParts,commentaire,remuneration,clean_name
dd0be323-39c8-4f29-9945-760c06b7cd83,Credit agricole SA,110,,15.0,PEA,"10,35",CREDIT AGRICOLE
7bbb60d3-4b7c-4989-bbcd-4141930459f0,Crédit Agricole,748,0,53.0,,0,CREDIT AGRICOLE
7bbb60d3-4b7c-4989-bbcd-4141930459f0,ENGIE,741,0,46.0,,0,ENGIE
7bbb60d3-4b7c-4989-bbcd-4141930459f0,VEOLIA,888,0,30.0,,0,VEOLIA
7bbb60d3-4b7c-4989-bbcd-4141930459f0,Crédit Agricole,40,0,2.0,"Il s'agit d'un compte titre sociétaire du Crédit Agricole 
        [Données non publiées]
    ",0,CREDIT AGRICOLE
77fd1a60-9311-482a-9e5e-3c543f77f787,Orange,9900,,1000.0,"
        [Données non publiées]
    ",Pas de rem car nouveau,ORANGE
218cef97-4ae9-4ded-b52c-78ed3e48a39b,SOCIETE GENERALE,0,,20.0,Actions gratuites offertes aux salariés et bloquées,néant,SOCIETE GENERALE
bbeb9328-b8b9-427a-8a0f-bbe8b931a08a,CREDIT AGRICOLE,1227,0,1227.0,,1,CREDIT AGRICOLE
125e1431-b53b-4789-9e47-f71e97eded8c,BNP PARIBAS,4110,2,2.0,,0,BNP PARIBAS
125e1431-b53b-4789-9e47-f71e97eded8c,CARREFOUR,1832,1,135.0,,0,CARREFOUR
125e1431-b53b-4789-9e47-f71e97eded8c,ENGIE,1161,0,380.0,,0,ENGIE
125e1431-b53b-4789-9e47-f71e97eded8c,LVMH,6244,4,10.0,,0,LVMH
125e1431-b53b-4789-9e47-f71e97eded8c,ORANGE,2326,1,240.0,,0,ORANGE
125e1431-b53b-4789-9e47-f71e97eded8c,RENAULT,1620,1,35.0,,0,RENAULT
9ea6d89a-9985-4791-853f-f47252d3376a,AIR LIQUIDE,2512,,18.0,actions détenues depuis plus de 10 ans dans le cadre d'un PEA,détention actions en direct,AIR LIQUIDE
9ea6d89a-9985-4791-853f-f47252d3376a,ORANGE,3924,,410.0,actions détenues depuis plus de 10 ans dans le cadre d'un PEA,détention actions,ORANGE
9ea6d89a-9985-4791-853f-f47252d3376a,Vivendi,2158,,90.0,actions détenues depuis plus de 10 ans dans le cadre d'un PEA,détention d'actions,VIVENDI
b6e76990-01b3-4a5c-8d69-b7b1f6cd1bd4,Saint-Gobain,837,0,23.0,Détention de 23 actions sur 1 465 067,Revenu net 0 euros depuis le 01/01/2020,SAINT GOBAIN
59868916-1dd1-4323-85e3-e8d3d7bfb0fb,THALES,3423,,50.0,,0,THALES
a2893249-f253-4cb4-bb9d-f7fcec066d31,Crédit Agricole SA,3190,,270.0,,151 en 2021,CREDIT AGRICOLE
3182ad16-30f4-4d4f-9d53-37053160e173,credit agricole,1006,,66.0,,25.16,CREDIT AGRICOLE
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Air liquide,11733,,304.0,,902,AIR LIQUIDE
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Axa,5853,,300.0,,402,AXA
6c809881-23c9-4f2c-b8e1-ccd6feb382df,BNP Paribas,9267,,215.0,,340,BNP PARIBAS
6c809881-23c9-4f2c-b8e1-ccd6feb382df,BOUYGUES,11777,,350.0,,595,BOUYGUES
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Carrefour,1585,,113.0,,48,CARREFOUR
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Credit Agricole SA,30733,,2980.0,,690,CREDIT AGRICOLE
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Danone,12257,,228.0,,478,DANONE
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Dassault Systèmes,12461,,75.0,,52,DASSAULT SYSTEMES
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Engie,14172,,1132.0,,817,ENGIE
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Kering,59440,,100.0,,1050,KERING
6c809881-23c9-4f2c-b8e1-ccd6feb382df,LVMH,73569,,144.0,,892,LVMH
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Michelin,8186,,78.0,,288,MICHELIN
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Orange,15655,,1609.0,,736,ORANGE
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Renault,3576,,100.0,,355,RENAULT
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Safran,52757,,455.0,,828,SAFRAN
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Saint Gobain,6675,,178.0,,236,SAINT GOBAIN
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Sanofi,20462,,260.0,,798,SANOFI
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Schneider Electric,33597,,284.0,,667,SCHNEIDER ELECTRIC
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Societe generale,4306,,253.0,,506,SOCIETE GENERALE
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Veolia,12725,,636.0,,515,VEOLIA
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Vinci,22862,,281.0,,747,VINCI
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Worldline,6169,,78.0,,0,WORLDLINE
60db0276-e4f3-4c3a-b2b5-d55f0eac8639,BNP Paribas,1671,,45.0,,0,BNP PARIBAS
60db0276-e4f3-4c3a-b2b5-d55f0eac8639,Crédit agricole,890,,100.0,,0,CREDIT AGRICOLE
60db0276-e4f3-4c3a-b2b5-d55f0eac8639,Société générale,293,,20.0,,0,SOCIETE GENERALE
889ca547-33f0-40b8-9e83-003a1816c6bb,Michelin,760,,20.0,La division par quatre du nominal des actions constitutives du capital de Michelin a été effectuée le 16 juin 2022. Les 5 titres détenus sont donc devenus 20 titres (=4x5).,Pas de rémunération autre que le dividende annuel de la société cotée  versé aux actionnaires pour l'exercice écoulé.,MICHELIN
a52e26a6-d7e2-4cb9-bb64-d19beac29be0,CREDIT AGRICOLE,1227,0,1227.0,,1,CREDIT AGRICOLE
52b2fa03-51c6-428f-8179-d58deba48f3b,AXA,5955,,337.0,,"172,25",AXA
52b2fa03-51c6-428f-8179-d58deba48f3b,SANOFI,1306,,15.0,,"33,12",SANOFI
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,engie,756,,52.0,,72,ENGIE
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,Kering,2845,,10.0,,140,KERING
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,Sanofi,2859,,30.0,,106,SANOFI
e14de8f9-043a-4d9b-bdea-5f6c57efba6f,worldline,567,,54.0,,0,WORLDLINE
392756b2-62de-4f90-b133-e80e12dfc8c8,AIRBUS,5094,,33.0,"
        [Données non publiées]
    ",92,AIRBUS
392756b2-62de-4f90-b133-e80e12dfc8c8,BNP PARIBAS,5520,,94.0,"
        [Données non publiées]
    ",449,BNP PARIBAS
392756b2-62de-4f90-b133-e80e12dfc8c8,DASSAULT SYSTEMES,2042,,62.0,"
        [Données non publiées]
    ",15,DASSAULT SYSTEMES
392756b2-62de-4f90-b133-e80e12dfc8c8,ESSILORLUXOTTICA,4878,,21.0,"
        [Données non publiées]
    ",81,ESSILORLUXOTTICA
