uuid,nomSociete,evaluation,capitalDetenu,nombreParts,commentaire,remuneration,clean_name,GICS Sector,GICS Sub-Industry
1debfdad-a34e-4a3f-bbb0-99ef52458e44,SELARL PHARMACIE BATAILLE,847895,54,2760.0,"
        [Données non publiées]
    ",Rémunération de gérance 2020 de 100 999 €.,SELARL PHARMACIE BATAILLE,,
53146fd1-09fe-4e21-b318-d92f0dc10209,ELCO,2000,100,0.0,,0,ELCO,,
53146fd1-09fe-4e21-b318-d92f0dc10209,Cercle des élus locaux,5000,50,0.0,,0,CERCLE DES ELUS LOCAUX,,
a2217ddb-dc26-4efd-b9a1-048d62eac94f,CEIDF Hauts de Seine,200,,10.0,,4 50 €,CEIDF HAUTS DE SEINE,,
dd0be323-39c8-4f29-9945-760c06b7cd83,SARL Rétroscapade,10000,25,100.0,"sans activité. 
        [Données non publiées]
    
        [Données non publiées]
    ",0,SARL RETROSCAPADE,,
dd0be323-39c8-4f29-9945-760c06b7cd83,Credit agricole SA,110,,15.0,PEA,"10,35",CREDIT AGRICOLE,,
dd0be323-39c8-4f29-9945-760c06b7cd83,Amundi Horizon FCP,188,,13.0,,1,AMUNDI HORIZON FCP,,
c26cf56b-1c18-4379-9822-2436dd1d1f50,PEA Espèces Annick JACQUEMET,780,0,0.0,ENVELOPPE GLOBALE,0,PEA ESPECES ANNICK JACQUEMET,,
c26cf56b-1c18-4379-9822-2436dd1d1f50,PEA Annick JACQUEMET,14311,0,0.0,ENVELOPPE GLOBALE,0,PEA ANNICK JACQUEMET,,
d4f377b6-9837-4e99-aef3-b5e162a174ab,CAREGAME,5600,,35.0,PEA,0,CAREGAME,,
7bbb60d3-4b7c-4989-bbcd-4141930459f0,SCIC Bois energie 41,100,,2.0,,0,SCIC BOIS ENERGIE 41,,
7bbb60d3-4b7c-4989-bbcd-4141930459f0,ADP,1407,0,12.0,,0,ADP,,
7bbb60d3-4b7c-4989-bbcd-4141930459f0,Crédit Agricole,748,0,53.0,,0,CREDIT AGRICOLE,,
7bbb60d3-4b7c-4989-bbcd-4141930459f0,ENGIE,741,0,46.0,,0,ENGIE,,
7bbb60d3-4b7c-4989-bbcd-4141930459f0,VEOLIA,888,0,30.0,,0,VEOLIA,,
7bbb60d3-4b7c-4989-bbcd-4141930459f0,Bio UV,201,0,100.0,,0,BIO UV,,
7bbb60d3-4b7c-4989-bbcd-4141930459f0,DONTNOD,11,0,6.0,,0,DONTNOD,,
7bbb60d3-4b7c-4989-bbcd-4141930459f0,KALRAY,165,0,35.0,,0,KALRAY,,
7bbb60d3-4b7c-4989-bbcd-4141930459f0,LUCIBEL ACT,47,0,200.0,,0,LUCIBEL ACT,,
7bbb60d3-4b7c-4989-bbcd-4141930459f0,NEOEN,1937,0,50.0,,0,NEOEN,,
7bbb60d3-4b7c-4989-bbcd-4141930459f0,Crédit Agricole,40,0,2.0,"Il s'agit d'un compte titre sociétaire du Crédit Agricole 
        [Données non publiées]
    ",0,CREDIT AGRICOLE,,
ab1171c5-0adf-439a-8e7e-4ba45a9aaba0,BANQUE POPULAIRE MEDITERRANEE,0,0,0.0,"COMPTES TITRE PEA SUR COMPTE BANQUE POPULAIRE MEDITERRANEE N°
        [Données non publiées]
     AVEC UN SOLDE AU 02/11/2020 DE 0.00€",0,BANQUE POPULAIRE MEDITERRANEE,,
77fd1a60-9311-482a-9e5e-3c543f77f787,Orange,9900,,1000.0,"
        [Données non publiées]
    ",Pas de rem car nouveau,ORANGE,,
218cef97-4ae9-4ded-b52c-78ed3e48a39b,SOCIETE GENERALE,0,,20.0,Actions gratuites offertes aux salariés et bloquées,néant,SOCIETE GENERALE,,
bbeb9328-b8b9-427a-8a0f-bbe8b931a08a,CREDIT AGRICOLE,1227,0,1227.0,,1,CREDIT AGRICOLE,,
125e1431-b53b-4789-9e47-f71e97eded8c,Atos,-3067,0,28.0,,0,ATOS,,
125e1431-b53b-4789-9e47-f71e97eded8c,BAYER,388,0,20.0,,0,BAYER,,
125e1431-b53b-4789-9e47-f71e97eded8c,BENETEAU,2637,1,300.0,,0,BENETEAU,,
125e1431-b53b-4789-9e47-f71e97eded8c,BL EUROPEAN SMALL,7285,5,35.0,,0,BL EUROPEAN SMALL,,
125e1431-b53b-4789-9e47-f71e97eded8c,BNP PARIBAS,4110,2,2.0,,0,BNP PARIBAS,,
125e1431-b53b-4789-9e47-f71e97eded8c,CARREFOUR,1832,1,135.0,,0,CARREFOUR,,
125e1431-b53b-4789-9e47-f71e97eded8c,ENGIE,1161,0,380.0,,0,ENGIE,,
125e1431-b53b-4789-9e47-f71e97eded8c,LVMH,6244,4,10.0,,0,LVMH,,
125e1431-b53b-4789-9e47-f71e97eded8c,ORANGE,2326,1,240.0,,0,ORANGE,,
125e1431-b53b-4789-9e47-f71e97eded8c,RALLY,0,0,208.0,,0,RALLY,,
125e1431-b53b-4789-9e47-f71e97eded8c,RENAULT,1620,1,35.0,,0,RENAULT,,
125e1431-b53b-4789-9e47-f71e97eded8c,Ste GENERALE,991,0,37.0,,0,STE GENERALE,,
125e1431-b53b-4789-9e47-f71e97eded8c,Valeo,1150,0,125.0,,0,VALEO,,
125e1431-b53b-4789-9e47-f71e97eded8c,WORDLINE,81,0,10.0,,0,WORDLINE,,
125e1431-b53b-4789-9e47-f71e97eded8c,Parts sociale B Credit Mut,109880,0,109880.0,,0,PARTS SOCIALE B CREDIT MUT,,
3d63f52b-48da-46c3-9e9f-97f5a7a375ad,La Venta,20000,100,100.0,,2023 : 110.000 euros2022 : 110.000 euros2021 : 42.000 euros2020 : 42.000 euros,LA VENTA,,
30390c89-2b91-4230-ac92-26af0946e434,bpbfc,152,,2.0,,0,BPBFC,,
f2e3ea30-f980-4a37-9dc1-c5005ff1300e,SASU ME PHILIPPE RAPPENEAU,300,100,300.0,,0,SASU ME PHILIPPE RAPPENEAU,,
844901e0-2a5b-4616-9eaf-f5301e7bb2d7,SCA LEADER INVESTISSEMENTS,3025,1,500.0,Participation ultra minoritaire dans une société permettant investissement dans des entreprises,0,SCA LEADER INVESTISSEMENTS,,
844901e0-2a5b-4616-9eaf-f5301e7bb2d7,SECTION PALOISE SASP,32000,0,1268.0,PARTICIPATION MINORITAIRE À UN CLUB SPORTIF PROFESSIONNEL,0,SECTION PALOISE,,
844901e0-2a5b-4616-9eaf-f5301e7bb2d7,AVIRON BAYONNAIS SASP,1200,0,1030.0,PARTICIPATION MINORITAIRE À UN CLUB SPORTIF PROFESSIONNEL,0,AVIRON BAYONNAIS,,
2850dec1-0cb6-401e-8498-339461c2f98d,LES EDITIONS FRANCE ROQUE,1568,1,90.0,,0,LES EDITIONS FRANCE ROQUE,,
2850dec1-0cb6-401e-8498-339461c2f98d,VEOLIA ENVIRONNEMENT,240,,12.0,,0,VEOLIA ENVIRONNEMENT,,
2850dec1-0cb6-401e-8498-339461c2f98d,PEA Fructifonds Profil 6,1692,,5.0,,0,PEA FRUCTIFONDS PROFIL 6,,
699a8560-111e-4303-afa0-a624c6e72bbd,Art'dhésif,2500,50,250.0,,20000,ART DHESIF,,
fa42d148-c449-4c7b-a4a7-225b6ff7bad2,Coopérative CoopWorking,1000,25,1.0,Retrait de la coopérative en Juillet 2021 - Remboursement des 1000€,0,COOPERATIVE COOPWORKING,,
fa42d148-c449-4c7b-a4a7-225b6ff7bad2,SCIC ESS Pratiques,4000,3,20.0,,Aucune,SCIC ESS PRATIQUES,,
a280b92f-2480-40d4-8a24-179e79f17e9e,NFCONSULTING,10000,90,900.0,"Société sans activité depuis 2017
        [Données non publiées]
    ",0,NFCONSULTING,,
a280b92f-2480-40d4-8a24-179e79f17e9e,SCI de La Rue Des Trois Marchands,137,90,9.0,"
        [Données non publiées]
    ",0,SCI DE LA RUE DES TROIS MARCHANDS,,
aee60b11-eba8-448e-a91b-589c79ef883c,smart angel,7920,99,99.0,activité en sommeil,0,SMART ANGEL,,
612b5453-e299-4e5b-9f31-2a3fe5827a24,D2C ASSOCIES,16000,50,50.0,,19670€ POUR L ANNEE 2021,D2C ASSOCIES,,
9ea6d89a-9985-4791-853f-f47252d3376a,AIR LIQUIDE,2512,,18.0,actions détenues depuis plus de 10 ans dans le cadre d'un PEA,détention actions en direct,AIR LIQUIDE,,
9ea6d89a-9985-4791-853f-f47252d3376a,EDF,7375,,839.0,actions détenues depuis plus de 10 ans dans le cadre d'un PEA,détention actions,EDF,,
9ea6d89a-9985-4791-853f-f47252d3376a,ORANGE,3924,,410.0,actions détenues depuis plus de 10 ans dans le cadre d'un PEA,détention actions,ORANGE,,
9ea6d89a-9985-4791-853f-f47252d3376a,VALEO,3856,,150.0,actions détenues depuis plus de 10 ans dans le cadre d'un PEA,détention d'actions,VALEO,,
9ea6d89a-9985-4791-853f-f47252d3376a,Vivendi,2158,,90.0,actions détenues depuis plus de 10 ans dans le cadre d'un PEA,détention d'actions,VIVENDI,,
9ea6d89a-9985-4791-853f-f47252d3376a,veolia environnement,3152,0,165.0,actions détenues en direct dans 1 PEA depuis plus de 10 ans,détention d'actions,VEOLIA ENVIRONNEMENT,,
b6e76990-01b3-4a5c-8d69-b7b1f6cd1bd4,Saint-Gobain,837,0,23.0,Détention de 23 actions sur 1 465 067,Revenu net 0 euros depuis le 01/01/2020,SAINT GOBAIN,,
b6e76990-01b3-4a5c-8d69-b7b1f6cd1bd4,Provence International Holding,0,5,5.0,"
        [Données non publiées]
    ",Rémunération 0 euros,PROVENCE INTERNATIONAL HOLDING,,
59868916-1dd1-4323-85e3-e8d3d7bfb0fb,THALES,3423,,50.0,,0,THALES,,
a2893249-f253-4cb4-bb9d-f7fcec066d31,Crédit Agricole SA,3190,,270.0,,151 en 2021,CREDIT AGRICOLE,,
a2893249-f253-4cb4-bb9d-f7fcec066d31,EDF,1658,0,144.0,,21 en 2021,EDF,,
278f0906-4aaa-4219-83b5-8bbd12dcefaf,Frenesius Médical Care,1125,,29.0,,0,FRENESIUS MEDICAL CARE,,
278f0906-4aaa-4219-83b5-8bbd12dcefaf,Korian SE,214,,31.0,,0,KORIAN,,
278f0906-4aaa-4219-83b5-8bbd12dcefaf,Orpéa,29,,20.0,,0,ORPEA,,
9d7d37c2-92ce-441d-9610-ae9e5df50ccf,SARL ECOFI Patrimoine Gestion,100000,,50.0,,Dividendes 14 800 € en 2020,SARL ECOFI PATRIMOINE GESTION,,
9d7d37c2-92ce-441d-9610-ae9e5df50ccf,SCPI Immorente Sofidy,99482,,328.0,,Revenus fonciers 2 226 € en 2020,SCPI IMMORENTE SOFIDY,,
c4878a6d-8a08-4024-b4a7-de5f5829ea6a,STRATEGIS CONSULTANTS,506635,63,318.0,,0,STRATEGIS CONSULTANTS,,
c4878a6d-8a08-4024-b4a7-de5f5829ea6a,SARL RELAIS DES PITONS,1117,33,5.0,,0,SARL RELAIS DES PITONS,,
ccc5c707-403b-478c-b29c-fe7eac830d48,SARL EID,500,50,50.0,,0,SARL EID,,
ccc5c707-403b-478c-b29c-fe7eac830d48,MARINA LAND,3810,50,250.0,,0,MARINA LAND,,
3182ad16-30f4-4d4f-9d53-37053160e173,credit agricole,1006,,66.0,,25.16,CREDIT AGRICOLE,,
801e1158-dd6d-4ffe-9239-6592d7785a58,SIG plc,3250,,5926.0,"Valorisation basée sur un prix de l'action à 0,47 GBP. Dividendes perçus en 2019",148 £,SIG,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Credit agricole parts sociales,153,,10.0,,1,CREDIT AGRICOLE PARTS SOCIALES,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Adocia,4229,,143.0,,0,ADOCIA,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Air liquide,11733,,304.0,,902,AIR LIQUIDE,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Arcelor,2718,,144.0,,0,ARCELOR,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Arkema,8602,,92.0,,230,ARKEMA,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Atos,7627,,102.0,,170,ATOS,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Auplata,41,,226.0,,0,AUPLATA,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Axa,5853,,300.0,,402,AXA,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,BNP Paribas,9267,,215.0,,340,BNP PARIBAS,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,BOUYGUES,11777,,350.0,,595,BOUYGUES,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Carmat,4245,,150.0,,0,CARMAT,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Carrefour,1585,,113.0,,48,CARREFOUR,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Casino Guichard,2947,,117.0,,182,CASINO GUICHARD,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Credit Agricole SA,30733,,2980.0,,690,CREDIT AGRICOLE,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Danone,12257,,228.0,,478,DANONE,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Dassault Systèmes,12461,,75.0,,52,DASSAULT SYSTEMES,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,DBV Technos,95,,22.0,,0,DBV TECHNOS,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Engie,14172,,1132.0,,817,ENGIE,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Essilor Luxotica,10204,,80.0,,163,ESSILOR LUXOTICA,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,FDJ,4376,,117.0,,52,FDJ,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Hermès,74766,,85.0,,386,HERMES,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Icade,4526,,73.0,,292,ICADE,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Kering,59440,,100.0,,1050,KERING,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,LVMH,73569,,144.0,,892,LVMH,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Michelin,8186,,78.0,,288,MICHELIN,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Neoen,3762,,60.0,,0,NEOEN,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Nokia,1061,,338.0,,23,NOKIA,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Orange,15655,,1609.0,,736,ORANGE,,
6c809881-23c9-4f2c-b8e1-ccd6feb382df,Oreal,47552,,153.0,,647,OREAL,,
