uuid,nom,prenom,stock_count,average_valuation,total_valuation,min_valuation,max_valuation
01e889f4-7c43-4f0a-a8bc-863cf13205cf,briand,philippe,48,6321978.5625,303454971,0,300000000
c2c9d9a9-f982-471c-a314-b2b40f583a93,briand,philippe,48,6321978.5625,303454971,0,300000000
4cf9ae19-5c59-42a1-b11a-c976986cc210,PELLENC,ROGER,6,14133609.333333334,84801656,30000,84364000
f95297b3-1e9a-4d8b-a03b-6d9d3a9a5055,PELLENC,ROGER,1,84364000.0,84364000,84364000,84364000
a2225105-10a6-4235-a719-52474ea3ba81,COUTIERE,Dominique,2,34473966.0,68947932,44932,68903000
ea0ffa1b-bc9b-433f-8f0d-9ca67680c491,Renaud Garabedian,evelyne,21,1718533.3333333333,36089200,0,12232827
3e190727-cb9d-4250-9089-026e25674042,Renaud Garabedian,evelyne,21,1718533.3333333333,36089200,0,12232827
324df540-73fd-4a45-bcf0-0db4ee3a2ee6,Fountaine,Jean-François,1,35000000.0,35000000,35000000,35000000
3a7e32df-5b55-4246-b6f8-5fe0a582f36c,MARTIN,michel,1,28800000.0,28800000,28800000,28800000
5d12ecc2-3763-486e-ab05-4dda694c0128,MARTIN,michel,1,28800000.0,28800000,28800000,28800000
b5286d35-d658-4f4c-a498-9ef6939ea2ae,Maillard,Sylvain,5,5496580.0,27482900,75000,27000000
e1c10d46-7195-43d5-b205-2419bd09c3e3,Maillard,Sylvain,5,5496580.0,27482900,75000,27000000
59f66301-db9d-46a5-8eb3-284d0cb389f1,VERNY,Gérault,2,12250000.0,24500000,2500000,22000000
dc48d4a9-41fc-48ce-b565-0e6d6f841437,VERNY,Gérault,2,12250000.0,24500000,2500000,22000000
e84252b7-71b2-4887-8284-d5a106d4f81c,Ferracci,Marc,1,22670940.0,22670940,22670940,22670940
1c1ff0ab-45b9-47c6-9e60-717c9ced76db,Ferracci,Marc,1,22670940.0,22670940,22670940,22670940
0799c06c-3f04-4854-ac75-35754df05e39,DOMINICI,JEAN BAPTISTE,8,2531849.625,20254797,34,16114000
1871e10a-7a01-46c9-a9f0-ebaa9ac6154d,DOMINICI,JEAN BAPTISTE,6,3355057.1666666665,20130343,21120,16114000
3ab2d93c-ec3b-45e2-a1fa-1af92a7404fb,Morel,Louise,2,9960562.5,19921125,300,19920825
47410799-9b86-4c8e-9a43-10da2171fbe9,Crémont,Alain,6,3080000.0,18480000,0,17000000
4fb363dc-4514-492f-a7b3-64128aeba267,Crémont,Alain,6,3080000.0,18480000,0,17000000
0c02b199-2a3f-460a-9301-36b98ed75503,Crémont,Alain,6,3080000.0,18480000,0,17000000
c164c746-e62c-4493-b2fc-6ee59aebe369,Crémont,Alain,6,3080000.0,18480000,0,17000000
c0fdfcaa-b7e3-4b39-be24-6393056f1f4e,Crémont,Alain,6,3080000.0,18480000,0,17000000
f53db226-a67c-4ab0-a352-cef10e84630b,MORIN,CHRISTIAN,5,3638114.6,18190573,49993,17398649
a9e34ebe-d7ca-4599-8fa7-c2f967296271,MORIN,CHRISTIAN,5,3638114.6,18190573,49993,17398649
4c265e4a-bf4b-4ebe-86b3-decaa0c8ee7b,PARA,LIONEL,1,17211457.0,17211457,17211457,17211457
16094b25-67c6-4528-b8d6-4e85f9b76440,Ruelle,jean Luc,15,932216.0,13983240,-305000,7300000
8e67a179-7b4c-434c-9d15-d59da88b7063,PEROTTINO,serge,20,646979.9,12939598,-190371,11324576
6b13d406-a7ab-4b5b-bb9d-3649a63e1d1d,RUAS,MICHEL,5,2577200.0,12886000,1000,9700000
de6a7d22-717d-471d-8275-342fe8a90fe3,MICHOUX,ERIC,7,1808757.142857143,12661300,0,11124000
5426898a-5e9f-4982-bca2-c5829b3e0730,MICHOUX,ERIC,7,1808757.142857143,12661300,0,11124000
e4d5cecb-e29c-43cf-a607-ea304f17bf9a,Alfandari,Henri,3,3820650.6666666665,11461952,2509,7997023
6f894a12-7a5b-4bf6-b0ae-78dcde8f7d3d,Alfandari,Henri,3,3820544.3333333335,11461633,2190,7997023
f17ea7b7-833d-4191-a235-1a4e1e6c4331,Morel,Louise,2,5178787.0,10357574,300,10357274
0557c24f-62af-420d-9aa2-562593798d78,Morel,Louise,2,5178787.0,10357574,300,10357274
fe30ae43-1a8c-43f2-868f-aa6ac7077c46,LEROY,BERNARD,2,4850000.0,9700000,1900000,7800000
1f858069-d05a-419e-9b45-17eaa50eeb87,LEROY,BERNARD,2,4850000.0,9700000,1900000,7800000
5f1539b8-0fc2-4dca-be60-cf7e621492d8,Riester,Franck,1,8712939.0,8712939,8712939,8712939
f1c7be21-24a4-43d6-a2fe-d79c488e040b,PEROTTINO,serge,20,394619.2,7892384,-202181,6233956
c42c0973-d3fd-4157-bbaf-66ba02e51294,Riester,Franck,1,7302000.0,7302000,7302000,7302000
7c974639-5e7a-4c8b-9d6d-6b34d11ee195,DUBOST,Jean-François,6,1213226.8333333333,7279361,275,7221337
a5df7f8c-ffcd-432c-9606-b9005c2a186a,DUBOST,Jean-François,6,1213226.8333333333,7279361,275,7221337
3c9d0fdc-41e6-44ac-9851-d06999bb9b29,DUBOST,Jean-François,6,1213226.8333333333,7279361,275,7221337
2ae0247d-ec81-4f34-9ffd-38401271dc0b,DUBOST,Jean-François,5,1449632.2,7248161,275,7221337
5e9757ec-1186-4483-ab2e-6e5a022d81e3,DUBOST,Jean-François,5,1449632.2,7248161,275,7221337
7ea59c34-aa4e-4041-be68-e47c87697174,Lombard,Eric,1,7240873.0,7240873,7240873,7240873
53cf9283-a72b-4140-9a97-ac38ed39e4e4,Lombard,Eric,1,6917910.0,6917910,6917910,6917910
f698cdfc-44cb-405c-a152-1450fc58332e,FAYSSAT,Olivier,31,222980.8064516129,6912405,8,6692815
4db016a0-6bb8-47e5-aa6c-432ff29ca850,CECCOLI,FRANCOIS XAVIER,3,2288985.0,6866955,295115,4730000
9ff9296c-794c-4a16-aca6-bc432629d323,CECCOLI,FRANCOIS XAVIER,4,1716738.75,6866955,95,4729905
9d5ed04f-686e-4e6a-a692-4796e114a06c,Lombard,Eric,1,6862731.0,6862731,6862731,6862731
6b108db1-a981-47c8-a028-966ed4740a05,BLANCHET,Jacques,2,3377500.0,6755000,1580000,5175000
aa1455cb-402e-4188-ba9f-1a4afcc3b6a4,BLANCHET,Jacques,2,3377500.0,6755000,1580000,5175000
1f935025-e50a-4a66-a825-2775fcf3ebd1,Pecresse,Valerie,4,1622608.25,6490433,98530,5754019
60d8c311-f3c6-4dee-9541-aa3d7e43a4c1,marolleau,thierry,37,165499.83783783784,6123494,3,4570875
f9347f2a-bc73-40e4-b606-d556722bb9db,Muselier,Renaud,10,605905.2,6059052,0,2918892
5b492472-1a85-4387-9df4-16f6ee498051,LASSALLE,VALERIE,3,1992483.6666666667,5977451,3100,5920563
9558e3ba-e79f-48dd-b078-c42831e5b7cf,Muselier,Renaud,10,591907.2,5919072,0,2918892
07a515ef-dbb5-473c-b1e2-b70e9ee9e7da,naegelen,christophe,2,2875006.5,5750013,13,5750000
39550eeb-0c13-40e5-8e18-f8658aa11437,chartreux,fabrice,4,1412250.0,5649000,0,4000000
975dacb1-7601-4c1f-8168-2747b57cf3a9,NOUGEIN,CLAUDE,2,2684538.0,5369076,27168,5341908
3ca5089c-ca6d-46cb-9a7f-ca9c6322e403,PAINEAU,Bernard,1,5154258.0,5154258,5154258,5154258
cde5c207-bb9f-45ad-b69d-dd7b2bab955d,PAINEAU,Bernard,1,5154258.0,5154258,5154258,5154258
2a183ee8-5daa-417e-b9d7-fe8103edb958,marolleau,thierry,3,1658958.3333333333,4976875,2000,4570875
2bb7d5df-98f5-4e42-ad28-0cbf2445c9e8,NOUVELOT,Cédric,10,495396.5,4953965,0,2594769
e99d229c-ac09-4c86-b75b-801482d451fa,JOURDAIN,Benoît,1,4517000.0,4517000,4517000,4517000
a089abf1-b922-43e5-920b-c8e372fb141a,JOURDAIN,Benoît,1,4517000.0,4517000,4517000,4517000
f077b58e-837f-4c73-bbbd-d20d877e32ac,JOURDAIN,Benoît,1,4517000.0,4517000,4517000,4517000
e13c4b5d-66a1-488d-8521-2754649db7c5,Pecresse,Valerie,5,885412.0,4427060,125600,3464903
d758cd16-0020-45fc-88c3-593e34495351,de NICOLAY,Louis-Jean,2,2000000.0,4000000,0,4000000
fb1075e9-9917-4dfa-a7c1-f2fba999fd7a,de NICOLAY,Louis-Jean,2,2000000.0,4000000,0,4000000
95815af5-1d01-486c-96f0-a60d8be9460c,Missoffe,Josephine,11,353760.0909090909,3891361,231,3832840
2d842122-03e9-4d82-8889-c3857ec98ed9,DE CANSON,François,3,1225500.0,3676500,139000,2337500
26e69145-7793-4760-bc32-5ca5d3ce2f8e,PEDUZZI,Dominique,6,601913.5,3611481,82,1185076
f69c326c-37f5-4524-9d7a-d4398adc414d,DE CANSON,François,3,1113000.0,3339000,139000,2000000
e769a2fe-6e83-4401-b42c-4af113c49cb7,Bernard,Bruno,13,255919.23076923078,3326950,100,2971238
50ab419d-b615-4572-a14a-42966703f1e6,Bernard,Bruno,13,255919.23076923078,3326950,100,2971238
eb152ea3-0e55-4384-947b-4ba4cf9cad85,Jamet,Marc-Antoine,2,1618091.0,3236182,35702,3200480
ab2cc0ac-1bb8-4cae-b778-7fc3f41f75cb,CADIC,Olivier,1,3070000.0,3070000,3070000,3070000
bbe83c3f-6874-4379-818d-0d0edcea0e19,CADIC,Olivier,1,3070000.0,3070000,3070000,3070000
23fcf2a4-e820-4513-b011-0a8dcbabfa1a,CADIC,Olivier,1,3070000.0,3070000,3070000,3070000
bb97f157-ed19-4d78-b024-007d1f9b8dcb,Vogel,Louis,7,410229.4285714286,2871606,14298,2452241
5b03c6ea-7817-4802-aed2-b97932fc23e3,Missoffe,Josephine,11,259595.36363636365,2855549,231,2797028
4028c818-13af-4f7e-93f1-abbdf82c6517,Vogel,Louis,6,468601.0,2811606,14298,2452241
19aa475a-f19e-4d55-985f-016b1cbb8856,vigier,philippe,2,1292228.0,2584456,15,2584441
da16a28a-6175-4454-a7cc-12a3bbbfab4d,vigier,philippe,2,1292228.0,2584456,15,2584441
2ce19731-a546-4381-966e-616228b9880c,de Bourrousse,Arnaud,1,2500000.0,2500000,2500000,2500000
8d6038f2-aa79-4812-b41c-27faa124d50d,de Bourrousse,Arnaud,1,2500000.0,2500000,2500000,2500000
c4024dff-d4fa-4023-bb03-6a60fba9724b,VEAU,Bertrand,3,773815.0,2321445,0,2312445
61d948fc-e24e-4beb-9398-2edbb383f537,de bazelaire,stéphanie,2,1145134.5,2290269,70270,2219999
9c064bc1-6819-4203-907e-72891f9ad676,Sido,Bruno,2,1100000.0,2200000,250000,1950000
227777b7-63a7-4c94-92ec-997f0919753b,POMERET,DANIEL,4,539944.25,2159777,44458,1800000
e85e4ff3-da8c-44cb-b29f-a4ce875042ea,POMERET,DANIEL,4,539944.25,2159777,44458,1800000
a3fff8c3-3f16-442b-86cb-2f1c327f9db2,POMERET,DANIEL,4,539944.25,2159777,44458,1800000
c5a77da7-0b61-4e4f-824d-9a4767a21a89,Leroy,Christian,8,268769.5,2150156,2790,1501920
fa3a2b16-c76c-44f1-94a4-eb92b54d0ed6,meriaux,pierre,4,536100.0,2144400,10000,2057400
5eec953f-d9de-481d-ba95-391eae4d3c61,Bringer,Corinne,2,1027625.5,2055251,192685,1862566
6e7da899-7bf0-453b-b851-a238ce80ef06,LAPORTE,Frédéric,3,655000.0,1965000,15000,1900000
30048dab-8859-46aa-aa97-7c58dd2e5760,THIRIET,Richard,6,325004.3333333333,1950026,334,1850000
661581d6-92f6-4efb-98c9-daa25db27117,LAPORTE,Frédéric,2,975000.0,1950000,50000,1900000
f2333935-679d-40ea-93bb-683b8d28aac1,RIGAUD,LAURENT,1,1927833.0,1927833,1927833,1927833
74ae19b3-935c-4469-b5a1-482e3ed1782e,RIGAUD,LAURENT,1,1927833.0,1927833,1927833,1927833
bca6d101-10f5-4fce-b351-739e71079f05,RIGAUD,LAURENT,1,1927833.0,1927833,1927833,1927833
9eca7744-ae5d-4179-a2f1-70368645c898,RIGAUD,LAURENT,1,1927833.0,1927833,1927833,1927833
5eb95266-cb11-443d-a57c-7f3084a83ce6,Méary,Nicolas,2,950750.0,1901500,260000,1641500
f8e84801-cf6e-41e7-8cbb-52a4452ad210,Pecresse,Valerie,4,473900.0,1895600,1000,1310373
bffb89dd-c25f-42d0-ad85-829e38f56faa,DOUCET,Didier,3,627280.3333333334,1881841,23046,959158
e53a9168-9924-4fa5-8774-69053f303f1e,DOUCET,Didier,3,627280.3333333334,1881841,23046,959158
7e674ea5-eb4b-4ca9-9984-85b24d4481bc,SERRUS,Jean Pierre,3,600834.6666666666,1802504,15000,1728400
34e9facd-a761-40be-936a-af32707bd81f,ISABELLE,LUX,2,900059.0,1800118,118,1800000
46512d66-f758-4f95-9ee7-d1a7355da6ea,naegelen,christophe,2,900015.0,1800030,30,1800000
e768bae1-5913-4bdc-97e9-74a5eb9db1eb,Levy,Ariel,4,441246.25,1764985,0,1698364
f8e81b00-df2a-4295-8a7f-64315275b825,Levy,Ariel,4,441246.25,1764985,0,1698364
8c2317ce-0473-4b62-9049-a13645d438b7,Levy,Ariel,4,441246.25,1764985,0,1698364
858fdde2-8464-4559-ac3a-16a36746e9d5,Levy,Ariel,4,441246.25,1764985,0,1698364
5071cb16-a265-457f-84b8-a905ffcd118f,Firmin Le Bodo,Agnès,20,85654.2,1713084,351,1487220
c80c235c-4670-4fd4-8147-386666f1fe3c,Braun-Pivet,Yaël,9,183994.66666666666,1655952,3544,1594362
