uuid,nom,prenom,GICS Sector,sector_valuation,total_valuation,sector_share
018db207-7406-48f9-a627-d5455886644e,ASSEH,Bassem,Information Technology,430000,430000,1.0
01e889f4-7c43-4f0a-a8bc-863cf13205cf,briand,philippe,Financials,4964,10977,0.4522182745741095
01e889f4-7c43-4f0a-a8bc-863cf13205cf,briand,philippe,Health Care,2821,10977,0.25699189213810697
01e889f4-7c43-4f0a-a8bc-863cf13205cf,briand,philippe,Information Technology,3192,10977,0.2907898332877836
0260af76-f46a-410b-bea9-265802f921be,ASSEH,Bassem,Information Technology,430000,430000,1.0
04dd08d0-c3f9-46a6-a201-7c82b379fd90,Gastinne,Jean-Baptiste,Consumer Staples,440,440,1.0
14716ef9-0d19-4b61-8f8e-9bf2e6ec2e7e,DESCHIENS,Sophie,Materials,1590,1590,1.0
1e9583f0-ef71-490a-9b17-f5cb9c717ead,Cathelain,Loïc,Consumer Staples,1278,3634,0.35167859108420474
1e9583f0-ef71-490a-9b17-f5cb9c717ead,Cathelain,Loïc,Health Care,1168,3634,0.3214089157952669
1e9583f0-ef71-490a-9b17-f5cb9c717ead,Cathelain,Loïc,Industrials,1188,3634,0.32691249312052834
1f935025-e50a-4a66-a825-2775fcf3ebd1,Pecresse,Valerie,Health Care,342091,6096110,0.056116277429377096
1f935025-e50a-4a66-a825-2775fcf3ebd1,Pecresse,Valerie,Industrials,5754019,6096110,0.9438837225706229
20dd292d-f8e6-43b8-9aac-74cd0d15e527,Cathelain,Loïc,Consumer Staples,1278,3634,0.35167859108420474
20dd292d-f8e6-43b8-9aac-74cd0d15e527,Cathelain,Loïc,Health Care,1168,3634,0.3214089157952669
20dd292d-f8e6-43b8-9aac-74cd0d15e527,Cathelain,Loïc,Industrials,1188,3634,0.32691249312052834
230e1b0b-1c29-4d21-821d-3d5933970084,PERRET,Jean-Philippe,Communication Services,951,2911,0.32669185846788046
230e1b0b-1c29-4d21-821d-3d5933970084,PERRET,Jean-Philippe,Industrials,1960,2911,0.6733081415321196
2de20291-65bf-43c9-9e83-320c2f3dac22,SOULIER,Gilles,Materials,1394,1394,1.0
2df4a993-3bc7-458b-9e5f-71b4f16f3e69,Giletti,Frank,Information Technology,4172,4172,1.0
331dc4db-88c7-4b4c-ac8d-46bfac692a05,PERRUT,Bernard,Financials,11284,11284,1.0
48b61bc2-c98a-4530-bc49-9416e4e61f3a,CHATILLON,ALAIN,Consumer Staples,32725,66836,0.48963133640552997
48b61bc2-c98a-4530-bc49-9416e4e61f3a,CHATILLON,ALAIN,Financials,34111,66836,0.5103686635944701
57e7b1d7-bf38-40ea-8965-4640074c8100,PELLICANO,Fortuné,Materials,1460,1460,1.0
68e2d512-6224-4a22-b318-767e9136a783,AMBLARD,Maxime,Consumer Discretionary,1472,4738,0.3106796116504854
68e2d512-6224-4a22-b318-767e9136a783,AMBLARD,Maxime,Consumer Staples,130,4738,0.027437737441958633
68e2d512-6224-4a22-b318-767e9136a783,AMBLARD,Maxime,Energy,206,4738,0.043478260869565216
68e2d512-6224-4a22-b318-767e9136a783,AMBLARD,Maxime,Industrials,194,4738,0.04094554664415365
68e2d512-6224-4a22-b318-767e9136a783,AMBLARD,Maxime,Information Technology,2629,4738,0.5548754748839173
68e2d512-6224-4a22-b318-767e9136a783,AMBLARD,Maxime,Utilities,107,4738,0.022583368509919797
7218d0d9-56d9-4bd3-a6d4-e881a8a30166,JUVIN,philippe,Information Technology,1292,1292,1.0
75f60842-08f1-469b-ba7a-1e7f4dbd6af7,Cayeux,Caroline,Information Technology,57403,57403,1.0
