uuid,nomSociete,evaluation,capitalDetenu,nombreParts,commentaire,remuneration
1debfdad-a34e-4a3f-bbb0-99ef52458e44,SELARL PHARMACIE BATAILLE,847895,54,2760,"
        [Données non publiées]
    ",Rémunération de gérance 2020 de 100 999 €.
53146fd1-09fe-4e21-b318-d92f0dc10209,ELCO,2000,100,0,,0
53146fd1-09fe-4e21-b318-d92f0dc10209,Cercle des élus locaux,5000,50,0,,0
a2217ddb-dc26-4efd-b9a1-048d62eac94f,CEIDF Hauts de Seine,200,,10,,4 50 €
a832cde1-4f53-4f31-9379-38d353f1b691,earl [Données non publiées],208240,63,5206,valeur vénale de la part 40€,"18000€/an rémunération reprise dans la rubrique 1""activité professionnelle"""
a832cde1-4f53-4f31-9379-38d353f1b691,sci [Données non publiées],37000,23,30,,0
dd0be323-39c8-4f29-9945-760c06b7cd83,SARL Rétroscapade,10000,25,100,"sans activité. 
        [Données non publiées]
    
        [Données non publiées]
    ",0
dd0be323-39c8-4f29-9945-760c06b7cd83,Credit agricole SA,110,,15,PEA,"10,35"
dd0be323-39c8-4f29-9945-760c06b7cd83,Amundi Horizon FCP,188,,13,,1
2470f905-40b8-4a64-9f28-ee13b2083144,sarl [Données non publiées],100,10,10,,aucune
46021805-cea4-4bf2-9874-f48b9dd82a64,SCI [Données non publiées],94500,27,27,,0
c26cf56b-1c18-4379-9822-2436dd1d1f50,PEA ESPECE [Données non publiées],799,0,0,ENVELOPPE GLOBALE,0
c26cf56b-1c18-4379-9822-2436dd1d1f50,PEA Espèces Annick JACQUEMET,780,0,0,ENVELOPPE GLOBALE,0
c26cf56b-1c18-4379-9822-2436dd1d1f50,PEA [Données non publiées],22349,0,0,ENVELOPPE GLOBALE,0
c26cf56b-1c18-4379-9822-2436dd1d1f50,PEA Annick JACQUEMET,14311,0,0,ENVELOPPE GLOBALE,0
c26cf56b-1c18-4379-9822-2436dd1d1f50,COMPTE TITRES [Données non publiées] Mme JACQUEMET,12083,100,1,,0
c26cf56b-1c18-4379-9822-2436dd1d1f50,sci [Données non publiées],139012,50,11000,,0
c26cf56b-1c18-4379-9822-2436dd1d1f50,sci [Données non publiées],72152,33,40,,0
c26cf56b-1c18-4379-9822-2436dd1d1f50,sci [Données non publiées],161878,100,300,,0
c26cf56b-1c18-4379-9822-2436dd1d1f50,sci [Données non publiées],138437,62,930,,0
eb22d274-ad4c-4947-ab82-96ff7f460f4f,SCI [Données non publiées],990,100,99,Monsieur Lisnard est nue propriétaire de 99 parts.,0
d4f377b6-9837-4e99-aef3-b5e162a174ab,CAREGAME,5600,,35,PEA,0
5ebb89db-9f3b-4562-a287-60acf6f0fae8,EARL [Données non publiées],215594,99,396,Evaluation de la participation financière : 99% de l'actif net 2019 (217 772 €). Les parts de cette société ne sont pas rémunérées.,0
5ebb89db-9f3b-4562-a287-60acf6f0fae8,SCEA [Données non publiées],19898,2,220,"Evaluation de la participation financière : 2,57% de l'actif net 2019 (774270 €). Les parts de cette société ne sont pas rémunérées.",0
7bbb60d3-4b7c-4989-bbcd-4141930459f0,SCIC Bois energie 41,100,,2,,0
7bbb60d3-4b7c-4989-bbcd-4141930459f0,GFA [Données non publiées],45090,32,447,"
        [Données non publiées]
    ",0
7bbb60d3-4b7c-4989-bbcd-4141930459f0,ADP,1407,0,12,,0
7bbb60d3-4b7c-4989-bbcd-4141930459f0,Crédit Agricole,748,0,53,,0
7bbb60d3-4b7c-4989-bbcd-4141930459f0,ENGIE,741,0,46,,0
7bbb60d3-4b7c-4989-bbcd-4141930459f0,VEOLIA,888,0,30,,0
7bbb60d3-4b7c-4989-bbcd-4141930459f0,Bio UV,201,0,100,,0
7bbb60d3-4b7c-4989-bbcd-4141930459f0,DONTNOD,11,0,6,,0
7bbb60d3-4b7c-4989-bbcd-4141930459f0,KALRAY,165,0,35,,0
7bbb60d3-4b7c-4989-bbcd-4141930459f0,LUCIBEL ACT,47,0,200,,0
7bbb60d3-4b7c-4989-bbcd-4141930459f0,NEOEN,1937,0,50,,0
7bbb60d3-4b7c-4989-bbcd-4141930459f0,Crédit Agricole,40,0,2,"Il s'agit d'un compte titre sociétaire du Crédit Agricole 
        [Données non publiées]
    ",0
7bbb60d3-4b7c-4989-bbcd-4141930459f0,SCI [Données non publiées],1000,50,200,"
        [Données non publiées]
    ",0
7bbb60d3-4b7c-4989-bbcd-4141930459f0,Groupement Forestier [Données non publiées],60000,60,600,,0
ab1171c5-0adf-439a-8e7e-4ba45a9aaba0,SCI [Données non publiées],3666,1,189,3 PARTS SUR LES 189 = 1.58%; 231000€x1.56% =3666,0
ab1171c5-0adf-439a-8e7e-4ba45a9aaba0,BANQUE POPULAIRE MEDITERRANEE,0,0,0,"COMPTES TITRE PEA SUR COMPTE BANQUE POPULAIRE MEDITERRANEE N°
        [Données non publiées]
     AVEC UN SOLDE AU 02/11/2020 DE 0.00€",0
77fd1a60-9311-482a-9e5e-3c543f77f787,Orange,9900,,1000,"
        [Données non publiées]
    ",Pas de rem car nouveau
7926fa85-ecaf-4a80-9076-1a9f17a96e95,SCI [Données non publiées],32500,50,10,,NET ANNUEL 2 400 €
7926fa85-ecaf-4a80-9076-1a9f17a96e95,SARL [Données non publiées],207000,90,450,Société patrimoniale,NEANT
218cef97-4ae9-4ded-b52c-78ed3e48a39b,SOCIETE GENERALE,0,,20,Actions gratuites offertes aux salariés et bloquées,néant
1e4a4582-0c31-4aaf-9fcf-20229d191694,SCI [Données non publiées],35100,26,50,,6855
bbeb9328-b8b9-427a-8a0f-bbe8b931a08a,SCI [Données non publiées],50000,50,50,Revenus fonciers,3000
bbeb9328-b8b9-427a-8a0f-bbe8b931a08a,SCI [Données non publiées],100000,100,100,Revenus fonciers,3943
bbeb9328-b8b9-427a-8a0f-bbe8b931a08a,CREDIT AGRICOLE,1227,0,1227,,1
125e1431-b53b-4789-9e47-f71e97eded8c,Atos,-3067,0,28,,0
125e1431-b53b-4789-9e47-f71e97eded8c,BAYER,388,0,20,,0
125e1431-b53b-4789-9e47-f71e97eded8c,BENETEAU,2637,1,300,,0
125e1431-b53b-4789-9e47-f71e97eded8c,BL EUROPEAN SMALL,7285,5,35,,0
125e1431-b53b-4789-9e47-f71e97eded8c,BNP PARIBAS,4110,2,2,,0
125e1431-b53b-4789-9e47-f71e97eded8c,CARREFOUR,1832,1,135,,0
125e1431-b53b-4789-9e47-f71e97eded8c,ENGIE,1161,0,380,,0
125e1431-b53b-4789-9e47-f71e97eded8c,LVMH,6244,4,10,,0
125e1431-b53b-4789-9e47-f71e97eded8c,ORANGE,2326,1,240,,0
125e1431-b53b-4789-9e47-f71e97eded8c,RALLY,0,0,208,,0
125e1431-b53b-4789-9e47-f71e97eded8c,RENAULT,1620,1,35,,0
125e1431-b53b-4789-9e47-f71e97eded8c,Ste GENERALE,991,0,37,,0
125e1431-b53b-4789-9e47-f71e97eded8c,Valeo,1150,0,125,,0
125e1431-b53b-4789-9e47-f71e97eded8c,WORDLINE,81,0,10,,0
125e1431-b53b-4789-9e47-f71e97eded8c,Parts sociale B Credit Mut,109880,0,109880,,0
3d63f52b-48da-46c3-9e9f-97f5a7a375ad,La Venta,20000,100,100,,2023 : 110.000 euros2022 : 110.000 euros2021 : 42.000 euros2020 : 42.000 euros
30390c89-2b91-4230-ac92-26af0946e434,bpbfc,152,,2,,0
f2e3ea30-f980-4a37-9dc1-c5005ff1300e,SASU ME PHILIPPE RAPPENEAU,300,100,300,,0
844901e0-2a5b-4616-9eaf-f5301e7bb2d7,SCI [Données non publiées],8000,10,10,"
        [Données non publiées]
    ",0
844901e0-2a5b-4616-9eaf-f5301e7bb2d7,SCI [Données non publiées],140000,50,16000,"
        [Données non publiées]
    ",0
844901e0-2a5b-4616-9eaf-f5301e7bb2d7,SCA LEADER INVESTISSEMENTS,3025,1,500,Participation ultra minoritaire dans une société permettant investissement dans des entreprises,0
844901e0-2a5b-4616-9eaf-f5301e7bb2d7,SECTION PALOISE SASP,32000,0,1268,PARTICIPATION MINORITAIRE À UN CLUB SPORTIF PROFESSIONNEL,0
844901e0-2a5b-4616-9eaf-f5301e7bb2d7,AVIRON BAYONNAIS SASP,1200,0,1030,PARTICIPATION MINORITAIRE À UN CLUB SPORTIF PROFESSIONNEL,0
413067e3-7ae0-48b8-9ff2-0a7514bf94c1,SARL [Données non publiées],10000,5,100,,0
413067e3-7ae0-48b8-9ff2-0a7514bf94c1,SCI [Données non publiées],58764,50,150,,0
0c52d7b2-f830-4969-a91b-1902357f3386,sci [Données non publiées],1000,100,100,,11915
ed3d7631-f651-40fa-a288-5d26478fde70,SCPI [Données non publiées],96937,,,,217
a625c05a-ee85-4379-83cb-eb26a4f182bf,[Données non publiées],56000,23,333,,3498
a625c05a-ee85-4379-83cb-eb26a4f182bf,[Données non publiées],0,100,100,"
        [Données non publiées]
    ",0
2850dec1-0cb6-401e-8498-339461c2f98d,LES EDITIONS FRANCE ROQUE,1568,1,90,,0
2850dec1-0cb6-401e-8498-339461c2f98d,VEOLIA ENVIRONNEMENT,240,,12,,0
2850dec1-0cb6-401e-8498-339461c2f98d,PEA Fructifonds Profil 6,1692,,5,,0
89f8c2fb-c625-45a0-87ca-2796268e5743,Crédit Agricole [Données non publiées],0,0,0,,0
699a8560-111e-4303-afa0-a624c6e72bbd,[Données non publiées],4000,50,80,,30000
699a8560-111e-4303-afa0-a624c6e72bbd,Art'dhésif,2500,50,250,,20000
699a8560-111e-4303-afa0-a624c6e72bbd,SCI [Données non publiées],3000,50,300,,0
b4262786-5da3-44dd-9020-3c4556e4a565,SCI [Données non publiées],100,33,10,Co-gérant à 1/3 de participation,0
b4262786-5da3-44dd-9020-3c4556e4a565,SCI [Données non publiées],500,50,50,,0
fa42d148-c449-4c7b-a4a7-225b6ff7bad2,Coopérative CoopWorking,1000,25,1,Retrait de la coopérative en Juillet 2021 - Remboursement des 1000€,0
fa42d148-c449-4c7b-a4a7-225b6ff7bad2,SCIC ESS Pratiques,4000,3,20,,Aucune
cd3875ee-e42a-479c-bab8-2407fdcc0591,[Données non publiées],1171949,47,16899,,0
cd3875ee-e42a-479c-bab8-2407fdcc0591,[Données non publiées],167515,25,2647,,0
a280b92f-2480-40d4-8a24-179e79f17e9e,NFCONSULTING,10000,90,900,"Société sans activité depuis 2017
        [Données non publiées]
    ",0
a280b92f-2480-40d4-8a24-179e79f17e9e,SCI de [Données non publiées],256747,99,99,"
        [Données non publiées]
    ",Néant.
a280b92f-2480-40d4-8a24-179e79f17e9e,SCI de La Rue Des Trois Marchands,137,90,9,"
        [Données non publiées]
    ",0
cceb08ce-3393-4a40-b9a9-a921e297f387,sci [Données non publiées],0,99,99,revenus fonciers en 2020,24000
aee60b11-eba8-448e-a91b-589c79ef883c,smart angel,7920,99,99,activité en sommeil,0
aee60b11-eba8-448e-a91b-589c79ef883c,SCI [Données non publiées],1500,91,1100,,14611
612b5453-e299-4e5b-9f31-2a3fe5827a24,SCI [Données non publiées],292500,80,80,,0
612b5453-e299-4e5b-9f31-2a3fe5827a24,SCI [Données non publiées],129853,50,50,,0
612b5453-e299-4e5b-9f31-2a3fe5827a24,D2C ASSOCIES,16000,50,50,,19670€ POUR L ANNEE 2021
b82be201-da96-4672-b607-8d77950a860c,earl [Données non publiées],200,,2,,0
9ea6d89a-9985-4791-853f-f47252d3376a,AIR LIQUIDE,2512,,18,actions détenues depuis plus de 10 ans dans le cadre d'un PEA,détention actions en direct
9ea6d89a-9985-4791-853f-f47252d3376a,EDF,7375,,839,actions détenues depuis plus de 10 ans dans le cadre d'un PEA,détention actions
9ea6d89a-9985-4791-853f-f47252d3376a,ORANGE,3924,,410,actions détenues depuis plus de 10 ans dans le cadre d'un PEA,détention actions
9ea6d89a-9985-4791-853f-f47252d3376a,VALEO,3856,,150,actions détenues depuis plus de 10 ans dans le cadre d'un PEA,détention d'actions
9ea6d89a-9985-4791-853f-f47252d3376a,Vivendi,2158,,90,actions détenues depuis plus de 10 ans dans le cadre d'un PEA,détention d'actions
9ea6d89a-9985-4791-853f-f47252d3376a,veolia environnement,3152,0,165,actions détenues en direct dans 1 PEA depuis plus de 10 ans,détention d'actions
b6e76990-01b3-4a5c-8d69-b7b1f6cd1bd4,Saint-Gobain,837,0,23,Détention de 23 actions sur 1 465 067,Revenu net 0 euros depuis le 01/01/2020
b6e76990-01b3-4a5c-8d69-b7b1f6cd1bd4,Provence International Holding,0,5,5,"
        [Données non publiées]
    ",Rémunération 0 euros
f23e5d96-3e53-414b-bfa1-5d904b5cf298,EARL [Données non publiées],161100,100,1611,EXPLOITATION AGRICOLE,0
59868916-1dd1-4323-85e3-e8d3d7bfb0fb,THALES,3423,,50,,0
a2893249-f253-4cb4-bb9d-f7fcec066d31,Crédit Agricole SA,3190,,270,,151 en 2021
a2893249-f253-4cb4-bb9d-f7fcec066d31,EDF,1658,0,144,,21 en 2021
